着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,セットアップ,牡2,55.0,横山武,1:50.5,,3,6.8,36.5,美浦鹿戸,474(+2)
2,7,8,パワーホール,牡2,55.0,横山典,1:51.2,4,4,6.9,36.8,栗東昆,474(+6)
3,7,7,ギャンブルルーム,牡2,55.0,松山,1:51.8,3.1/2,2,3.9,37.3,栗東大久保,496(+4)
4,3,3,マーゴットソラーレ,牡2,55.0,佐々木,1:52.0,1.1/4,6,20.0,37.5,美浦伊坂,438(-2)
5,5,5,トレミニョン,牝2,55.0,西村淳,1:52.0,クビ,9,45.5,37.3,美浦和田勇,442(+4)
6,8,9,ガイアメンテ,牡2,55.0,武豊,1:52.2,1.1/4,1,2.3,37.6,栗東須貝,480(-2)
7,8,10,ロジルーラー,牡2,55.0,菅原明,1:52.5,2,7,33.5,37.5,美浦稲垣,502(-4)
8,2,2,カイコウ,セ2,55.0,落合玄,1:53.8,8,10,99.9,38.8,地方田中正,458(0)
9,6,6,ウールデュボヌール,牡2,55.0,ルメー,1:53.8,アタマ,5,12.8,38.6,栗東須貝,478(-4)
10,1,1,グランルーチェ,牡2,55.0,浜中,1:57.7,大,8,45.3,42.8,栗東庄野,456(-2)
