着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,6,ドナベティ,牝2,55.0,武豊,1:10.4,,2,6.1,35.1,栗東矢作,424(+2)
2,7,11,レガテアドール,牡2,55.0,斎藤,1:10.6,1.1/4,3,10.0,36.5,栗東吉田,428(0)
3,3,3,スカイキャンバス,牝2,55.0,横山武,1:10.6,クビ,1,1.8,36.8,美浦武井,418(-4)
4,8,14,ビコーズウイキャン,牡2,55.0,阿部龍,1:10.7,クビ,14,197.8,36.3,地方佐久雅,414(+2)
5,1,1,ピコサン,牡2,55.0,鮫島駿,1:10.8,3/4,4,12.0,36.8,美浦上原佑,458(-2)
6,4,5,レイニングキャット,牡2,55.0,丹内,1:11.2,2.1/2,6,14.8,36.9,美浦岩戸,480(+2)
7,8,13,イイデスカイハイ,牝2,55.0,服部茂,1:11.2,クビ,13,147.4,37.4,地方村上正,450(-6)
8,7,12,アスクアイルビゼア,牡2,55.0,古川奈,1:11.3,クビ,8,31.0,36.2,栗東矢作,452(0)
9,6,9,ピンクヴェノム,牝2,55.0,佐々木,1:11.3,アタマ,7,15.4,37.1,美浦牧,460(+12)
10,6,10,デュアルロンド,牡2,55.0,松井伸,1:11.5,1.1/4,9,54.1,36.2,地方佐久雅,438(-6)
11,5,8,オソレ,牡2,55.0,桑村真,1:12.0,2.1/2,10,79.2,36.5,地方斉藤正,456(0)
12,2,2,セントキルダ,牡2,55.0,北村友,1:12.2,1.1/2,5,14.0,37.7,栗東音無,482(+12)
13,5,7,マイドオオキニ,牝2,55.0,落合玄,1:13.5,8,12,104.0,38.0,地方田中淳,434(+6)
14,3,4,ムーヴィングオン,牝2,55.0,石川倭,1:14.0,2.1/2,11,87.3,38.3,地方斉藤正,400(-6)
