着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,4,ロジレット,牝4,56.0,永野,1:47.1,,6,22.4,34.1,美浦稲垣,456(+6)
2,2,2,エープラス,牝5,56.0,石橋脩,1:47.4,1.3/4,4,13.0,34.3,美浦池上,488(-4)
3,1,1,メタルスピード,牡3,55.0,津村,1:47.5,1/2,1,1.6,34.0,美浦斎藤誠,514(+8)
4,7,7,カトルショセット,牝5,56.0,丹内,1:47.6,クビ,9,97.2,33.8,美浦黒岩,466(-6)
5,8,9,セナリスト,牝5,56.0,丸山,1:47.6,クビ,7,25.1,33.4,美浦金成,464(+6)
6,8,10,サンクフィーユ,牝4,56.0,西村淳,1:47.7,1/2,2,4.2,33.8,栗東中内田,464(+4)
7,7,8,オウケンボルト,牡4,58.0,Mデム,1:47.8,1/2,3,8.0,34.3,美浦土田,454(+6)
8,3,3,ジュンブルースカイ,牡5,58.0,石川,1:47.9,3/4,5,14.8,33.4,栗東友道,444(-4)
9,6,6,エトワールマタン,牝5,56.0,菅原明,1:48.2,2,8,29.2,33.7,美浦高柳瑞,446(-4)
10,5,5,サラフィエル,牡4,58.0,菊沢,1:48.9,4,10,208.9,34.7,美浦鈴木慎,452(-2)
