馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ミッキーブリランテ,牡7,津村,栗東・矢作,差し,51.7,11,7,,33.0,464(-4),新潟,28,中3週,Y,,3,ディープブリランテ,Dansili,
2,2,ソウルラッシュ B,牡5,松山,栗東・池江,差し,3.7,2,9,,33.6,506(+4),東京,98,中13週,Y,,3,ルーラーシップ,マンハッタンカフェ,
3,3,ミスニューヨーク,牝6,Ｍデム,栗東・杉山晴,追込,19.1,8,7,,34.4,474(+2),札幌,42,中5週,Y,,3,キングズベスト,マンハッタンカフェ,
4,4,メイショウシンタケ,牡5,浜中,栗東・千田,差し,17.0,7,5,,32.8,468(+2),新潟,28,中3週,Y,,3,ワールドエース,アドマイヤコジーン,
5,5,インダストリア,牡4,ルメー,美浦・宮田,差し,2.9,1,7,,35.2,494(-6),東京,91,中12週,Y,,3,リオンディーズ,ハーツクライ,
6,6,シャイニーロック,牡7,酒井,栗東・佐々木,逃げ,28.5,10,11,,36.5,508(+2),阪神,85,中11週,Y,,3,ベルシャザール,ロックオブジブラルタル,
7,6,グラニット,牡3,嶋田,美浦・大和田,,13.0,6,6,,35.8,460(+12),福島,70,中9週,Y,,3,ダノンバラード,フサイチコンコルド,
8,7,アスクコンナモンダ,牡4,西村淳,栗東・中内田,差し,7.4,3,1,,34.9,448(-4),中京,71,中9週,Y,,3,ダイワメジャー,Monsun,
9,7,ラインベック,セ6,石橋脩,栗東・友道,先行,7.5,4,3,,33.2,482(+2),新潟,28,中3週,Y,,3,ディープインパクト,キングカメハメハ,
10,8,ウイングレイテスト B,牡6,松岡,美浦・畠山,先行,11.1,5,4,,35.3,496(+2),中京,49,中6週,Y,,3,スクリーンヒーロー,サクラユタカオー,
11,8,トーセンローリエ,牝3,菅原明,美浦・小笠,先行,20.6,9,6,,35.0,432(-8),札幌,42,中5週,Y,,3,サトノクラウン,メイショウサムソン,
