着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,リカンカブール,牡4,58.0,武豊,1:58.3,,4,6.6,33.8,栗東田中克,494(0)
2,8,15,エアサージュ,牡5,58.0,松山,1:58.3,アタマ,7,19.5,34.8,栗東池添,532(-4)
3,3,5,メモリーレゾン,牝4,56.0,古川吉,1:58.3,アタマ,3,5.6,34.4,栗東長谷川,462(+8)
4,2,4,セントカメリア,牝4,56.0,北村友,1:58.5,1.1/2,6,17.8,34.1,栗東高野,460(-4)
5,6,12,ジュリアバローズ,牝5,56.0,Mデム,1:58.7,1,2,5.3,34.4,栗東上村,454(+18)
6,5,9,チャンスザローゼス,牡3,55.0,川田,1:58.7,クビ,1,2.6,35.4,栗東中内田,484(-8)
7,2,3,アサケレディ,牝5,56.0,田口,1:59.0,1.1/2,10,31.2,35.0,栗東大橋,506(+6)
8,4,7,サンセットクラウド,牡4,58.0,岩田望,1:59.1,1/2,9,30.3,35.1,栗東矢作,456(+4)
9,7,14,ボーデン,牡5,58.0,吉田隼,1:59.1,アタマ,8,25.9,35.4,美浦木村,508(+4)
10,7,13,トゥルーヴィル,牡6,58.0,藤岡康,1:59.3,1.1/4,14,100.6,35.2,栗東小林,468(+2)
11,4,8,アインゲーブング,牝5,56.0,和田竜,1:59.6,2,12,56.9,35.7,美浦黒岩,442(-2)
12,8,16,スズカノロッソ,セ8,58.0,富田,1:59.6,ハナ,13,72.8,34.5,美浦小島,488(+8)
13,6,11,サンライズロナウド,牡4,58.0,横山典,1:59.6,アタマ,5,12.2,37.8,栗東安田隆,474(+2)
14,1,2,マテンロウアレス,セ5,58.0,太宰,1:59.7,3/4,11,42.6,34.9,栗東昆,500(+2)
15,5,10,タガノフィナーレ,牝4,56.0,鮫島駿,2:00.2,3,15,158.2,35.3,栗東中村,514(+4)
16,3,6,シャフトオブライト,牡8,58.0,亀田,2:00.3,1/2,16,264.5,36.5,栗東北出,454(-6)
