馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,コートリーバウ,牝2,池添,栗東・池添,逃げ,13.2,7,1,2歳未勝利,33.6,402(+6),阪神,29,中3週,Y,,3,モーリス,ゼンノロブロイ,
2,2,ベネメレンティ,牝2,,栗東・河内,,13.0,6,1,2歳新馬,34.6,434(+4),阪神,21,中2週,Y,,1,ニューイヤーズデイ,ダンスインザダーク,
3,3,セキトバイースト,牝2,藤岡康,栗東・四位,先行,3.6,1,1,2歳未勝利,34.6,442(+8),中京,78,中10週,Y,,2,デクラレーションオブウォー,Footstepsinthesand,
4,4,キャプテンネキ,牝2,松山,栗東・杉山晴,先行,7.7,5,1,2歳新馬,35.5,528(0),新潟,58,中7週,Y,,1,ダイワメジャー,キャプテンスティーヴ,
5,5,フェリシス,牝2,山本咲,地方・石橋満,逃げ,231.6,10,3,,40.2,448(-2),園田,39,中5週,,,0,レッドファルクス,アフリート,
6,6,レアリゼアンレーヴ,牝2,川田,栗東・須貝,先行,4.8,3,1,2歳新馬,35.2,420(0),札幌,58,中7週,Y,,1,エピファネイア,ロードカナロア,
7,7,ピンクレディ,牝2,吉村智,地方・保利平,先行,167.9,9,1,2歳初出走,37.4,466(-9),園田,33,中4週,,,0,デクラレーションオブウォー,Exceed And Excel,
8,7,バウンシーステップ,牝2,西村淳,栗東・高橋亮,差し,7.1,4,1,2歳未勝利,34.0,460(+4),阪神,30,中3週,Y,,3,モーリス,ステイゴールド,
9,8,ルクスノア,牝2,永島,栗東・平田,先行,3.8,2,4,,34.4,466(-4),新潟,43,中5週,Y,,2,オルフェーヴル,ハービンジャー,
10,8,チークタイム,牝2,和田竜,栗東・鈴木孝,先行,54.6,8,7,,36.9,450(+6),函館,86,中11週,Y,,2,キンシャサノキセキ,エイシンフラッシュ,
