馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アドマイヤサジー B,牝3,大野,美浦・宮田,差し,30.4,9,1,3歳未勝利,34.4,426(-6),函館,98,中13週,Y,,3,ハービンジャー,キングカメハメハ,
2,2,キヨラ,牝5,菊沢,美浦・堀内,差し,95.8,15,5,,35.3,480(+8),福島,84,中11週,Y,,3,エピファネイア,ラムタラ,
3,2,ジェモロジー,牝3,北村友,栗東・橋口,先行,2.1,1,2,3歳以上1勝クラス,35.5,490(0),新潟,69,中9週,Y,,3,ハービンジャー,アグネスタキオン,
4,3,トリオンファルマン,牝3,角田和,栗東・笹田,差し,24.9,7,16,,34.3,426(-6),阪神,27,中3週,Y,,3,キズナ,Distorted Humor,
5,3,クインズカムイ,牝3,秋山真,美浦・加藤征,追込,35.9,12,5,3歳以上1勝クラス,33.8,472(+6),新潟,56,中7週,Y,,3,キンシャサノキセキ,Street Cry,
6,4,ヴァイルマティ,牝3,丹内,美浦・鹿戸,差し,12.9,4,4,3歳以上1勝クラス,34.9,502(+6),中山,21,中2週,Y,,3,ゴールドシップ,ブライアンズタイム,
7,4,ローブエリタージュ,牝4,武藤,美浦・手塚,差し,19.4,6,5,,34.4,404(+4),新潟,63,中8週,Y,,3,ディープインパクト,ウォーエンブレム,
8,5,レシプロシティ,牝3,斎藤,美浦・田村,差し,28.8,8,6,3歳以上1勝クラス,35.8,454(-6),中山,28,中3週,Y,,3,キズナ,Sahm,
9,5,メイショウノブカ,牝3,江田照,栗東・本田,差し,5.0,2,6,3歳以上1勝クラス,34.8,510(+6),札幌,76,中10週,Y,,3,シルバーステート,Red Ransom,
10,6,オブリクア,牝3,丸山,美浦・萩原,,33.9,10,1,3歳未勝利,35.5,462(+2),新潟,62,中8週,Y,,3,ワンアンドオンリー,Distorted Humor,
11,6,ウインレイアー,牝3,,美浦・和田雄,先行,46.6,13,5,3歳以上1勝クラス,35.1,444(+8),中山,27,中3週,Y,,3,シルバーステート,Arch,
12,7,エルチェリーナ,牝3,石橋脩,栗東・高野,差し,6.1,3,1,3歳新馬,33.9,488(+4),中京,258,中36週,Y,Y,1,ハービンジャー,ディープインパクト,
13,7,ルージュクレセント,牝3,佐々木,美浦・国枝,先行,19.0,5,4,3歳以上1勝クラス,35.3,452(-14),中山,27,中3週,Y,,3,ドゥラメンテ,Cape Cross,
14,8,イージーオンミー B,牝3,吉田隼,美浦・中舘,先行,52.0,14,13,3歳以上1勝クラス,38.8,428(-12),札幌,55,中7週,Y,,3,ダイワメジャー,パイロ,
15,8,セルケト B,牝4,荻野極,栗東・斉藤崇,先行,34.4,11,14,3歳以上1勝クラス,38.0,498(+2),新潟,69,中9週,Y,,3,ディープブリランテ,Monsun,
