着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,8,ワープスピード,牡4,56.0,荻野極,3:03.7,,3,6.6,35.3,美浦高木,500(-2)
2,8,15,メイショウブレゲ,牡4,56.0,酒井,3:03.9,1,7,14.7,35.0,栗東本田,466(-6)
3,1,2,エンドウノハナ,牡4,57.0,岩田望,3:04.1,1.1/2,1,3.7,35.5,栗東四位,472(-4)
4,3,6,アップデート,牡4,55.0,和田竜,3:04.4,1.1/2,10,23.9,35.9,栗東杉山晴,506(+2)
5,8,17,ウインエアフォルク,牡6,55.0,幸,3:04.4,アタマ,14,51.6,35.5,美浦根本,470(-6)
6,2,3,タイムオブフライト,牡4,56.0,鮫島駿,3:04.4,クビ,8,15.4,36.0,栗東辻野,440(-2)
7,7,14,サンセットクラウド,牡4,56.0,坂井,3:04.5,クビ,4,8.5,36.3,栗東矢作,458(+2)
8,5,10,ダノンレガーロ,牡6,56.0,北村友,3:04.5,クビ,13,37.2,35.3,美浦西田,458(-10)
9,6,12,マテンロウマジック,牡4,55.0,太宰,3:04.6,1/2,12,36.7,35.9,栗東高橋亮,490(+4)
10,5,9,マイネルコロンブス,牡6,54.0,団野,3:04.8,3/4,15,90.6,36.1,美浦清水英,470(0)
11,1,1,シホノスペランツァ,牡4,56.0,浜中,3:05.0,1.1/4,2,5.6,36.9,栗東寺島,490(+4)
12,4,7,アスティ,セ7,54.0,国分恭,3:05.0,1/2,16,147.3,36.6,美浦堀内,420(-4)
13,3,5,ホウオウエクレール,牡6,57.0,藤岡康,3:05.2,1,6,13.2,37.3,栗東宮,508(+2)
14,8,16,モンテディオ,牡5,55.0,横山典,3:05.3,クビ,9,21.0,37.1,栗東四位,486(+6)
15,2,4,ミステリーウェイ,セ5,56.0,池添,3:05.4,1/2,5,8.7,37.1,栗東小林,500(+10)
16,6,11,スズカノロッソ,セ8,55.0,荻野琢,3:05.4,クビ,17,179.5,36.2,美浦小島,480(-8)
17,7,13,タイセイシリウス,セ6,52.0,松若,3:06.7,8,11,32.7,38.6,栗東小栗,492(+14)
