着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,レリジールダモーレ,牝4,56.0,横山琉,1:46.8,,3,7.5,36.1,栗東高橋忠,446(+2)
2,6,11,ネイリッカ,牝4,56.0,丹内,1:47.1,1.3/4,2,4.2,37.3,美浦和田勇,458(+2)
3,6,10,ファイヴレター,牡6,58.0,黛,1:47.2,1,15,136.8,36.8,美浦佐藤,458(0)
4,3,5,アイアムイチリュウ,牡6,58.0,菅原隆,1:47.2,ハナ,7,17.7,36.7,美浦奥平,516(-2)
5,3,4,ロイガヴェーグル,牡3,56.0,吉田隼,1:47.4,3/4,1,2.5,37.3,栗東浜田,444(+8)
6,5,8,ニットウライジン,牡3,56.0,小林勝,1:47.7,1.3/4,5,11.9,37.6,美浦稲垣,506(+8)
7,8,15,クリノナイスガイ,セ6,58.0,嶋田,1:47.8,1/2,12,92.3,37.9,美浦石毛,474(+6)
8,2,2,クリニクラウン,牝3,54.0,菊沢,1:47.9,1,4,10.0,36.9,美浦小手川,468(-12)
9,4,7,ソールズベリー,牝4,56.0,柴山,1:48.0,1/2,14,94.7,38.1,美浦竹内,442(-14)
10,4,6,サヴァビアン,牡5,58.0,小林凌,1:48.1,3/4,6,13.4,37.8,栗東羽月,436(+6)
11,7,13,タガノリバイバー,牝5,56.0,角田和,1:48.3,3/4,8,21.0,37.5,栗東大根田,502(+4)
12,7,12,トゥーサン,牝4,56.0,永島,1:48.7,2.1/2,11,35.2,38.3,栗東吉岡,456(-2)
13,2,3,ニシノオイカゼ,牡5,58.0,杉原,1:48.9,1.1/4,13,93.4,37.9,美浦武市,466(-6)
14,5,9,ヴァクストゥーム,牡6,58.0,水口,1:49.4,3.1/2,9,27.0,39.4,栗東吉田,464(-4)
15,8,14,メイショウイッコン,牝5,56.0,長岡,1:49.9,2.1/2,10,32.0,39.8,栗東高橋亮,468(-2)
