着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,2,アイファーシアトル,牝3,55.0,藤懸,1:07.4,,3,5.5,36.8,栗東鮫島,464(-8)
2,2,4,パロットビーク,牝5,56.0,石橋脩,1:07.6,1.1/2,5,7.9,36.7,栗東西園翔,464(-2)
3,8,15,グレタ,牝4,56.0,丹内,1:07.7,クビ,6,7.9,36.5,美浦清水英,472(0)
4,5,10,タッカーシルバー,牝4,56.0,永島,1:07.9,1.1/4,12,43.1,35.5,美浦鈴木伸,456(0)
5,4,8,アイファースキャン,牡3,57.0,藤田菜,1:07.9,クビ,2,5.5,36.0,美浦根本,484(+10)
6,4,7,ユウグロスファクタ,牝4,56.0,松本,1:08.2,1.1/2,8,19.5,37.0,栗東新谷,510(+10)
7,1,1,アイアンムスメ,牝5,56.0,小林美,1:08.2,クビ,16,245.1,35.8,栗東笹田,440(-12)
8,7,13,ビルカール,牡3,57.0,柴田善,1:08.3,1/2,1,4.3,37.3,美浦水野,482(+6)
9,7,14,バーニングソウル,牝6,56.0,太宰,1:08.5,1.1/4,14,144.3,36.1,栗東谷,430(-4)
10,6,11,ルピナステソーロ,牝5,56.0,Hドイ,1:08.5,ハナ,11,37.9,35.4,美浦畠山,470(0)
11,5,9,ブラーヴ,牡3,57.0,川端,1:08.7,1.1/4,13,65.1,35.7,栗東加用,490(+4)
12,3,5,メイショウオトギ,牝3,55.0,武藤,1:08.8,1/2,7,17.7,38.0,栗東池添,426(-6)
13,6,12,シンリンゲンカイ,牝3,55.0,菊沢,1:08.9,1/2,9,22.4,37.9,美浦石栗,468(+10)
14,8,16,テイエムスイスイ,牝3,55.0,佐々木,1:09.0,クビ,10,35.2,37.7,美浦石栗,504(+4)
15,3,6,ファンタジックラン,牝4,56.0,富田,1:09.3,2,15,176.7,38.4,栗東飯田祐,446(+4)
16,2,3,ミロワール,牝4,56.0,吉田隼,1:09.5,1.1/4,4,6.7,38.8,栗東安田隆,460(0)
