着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,13,スマートサニー,牡3,57.0,藤岡康,1:50.3,,1,1.9,37.1,栗東松永昌,462(+2)
2,2,2,アイブランコ,牡6,58.0,西村淳,1:50.6,1.3/4,6,13.9,35.4,美浦中野,530(0)
3,6,9,アルムブラーヴ,牡4,58.0,丸山,1:50.7,3/4,2,8.1,37.1,栗東川村,490(+10)
4,4,5,インベルシオン,牡4,58.0,吉村智,1:50.8,1/2,13,110.1,37.4,栗東清水久,550(-14)
5,1,1,タイセイエピソード,牡4,58.0,松若,1:50.9,3/4,3,8.7,36.8,栗東杉山晴,486(+6)
6,7,12,レプンカムイ,牡5,58.0,北村友,1:50.9,アタマ,5,12.2,36.0,栗東橋口,476(-4)
7,6,10,ラフストリーム,牡5,58.0,黛,1:51.1,1.1/4,10,35.5,37.2,美浦武井,536(+6)
8,5,8,ラズルダズル,牡6,58.0,Hドイ,1:51.2,1/2,4,9.0,38.0,栗東茶木,470(+2)
9,5,7,ラヴォラーレ,牡5,58.0,原,1:51.7,3,11,39.5,36.8,美浦武市,532(+4)
10,8,14,メンアットワーク,牡4,58.0,斎藤,1:51.9,1.1/2,8,25.4,38.5,美浦斎藤誠,466(-2)
11,4,6,ダッチマン,セ6,58.0,高倉,1:52.1,1.1/4,14,158.2,38.3,栗東音無,472(-2)
12,7,11,レッドバロッサ,セ4,58.0,永島,1:52.5,2,12,45.5,38.3,栗東音無,512(-2)
13,3,3,ゴダイリキ,牡5,58.0,国分恭,1:54.8,大,9,25.5,41.3,栗東牧浦,496(0)
14,3,4,アースライザー,セ6,58.0,吉田隼,1:55.5,4,7,16.9,39.4,美浦鈴木慎,478(-8)
