馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アンセーニュ,牝5,池添,栗東・奥村豊,先行,108.0,14,8,,34.3,440(+10),東京,36,中4週,Y,,3,オルフェーヴル,Myboycharlie,
2,1,ソウテン,牡4,ルメー,美浦・加藤征,差し,13.5,4,9,,35.5,504(-8),中山,78,中10週,Y,,3,ロードカナロア,Dubawi,
3,2,イティネラートル,牝3,岩田望,栗東・長谷川,先行,24.8,6,11,,35.4,418(-2),京都,71,中9週,Y,,3,キズナ,High Chaparral,
4,2,リヴェール,牝6,,栗東・鮫島,追込,192.7,17,16,,34.8,462(+4),京都,42,中5週,Y,,3,オルフェーヴル,Closing Argument,
5,3,チュウワノキセキ,セ6,ムルザ,栗東・大久保,差し,62.4,13,10,,33.6,482(0),京都,56,中7週,Y,,3,キンシャサノキセキ,ジェネラス,
6,3,ヤマニンペダラーダ,牡9,和田翼,栗東・中村,追込,370.6,18,13,,33.3,492(+6),東京,36,中4週,Y,,3,ディープインパクト,ホワイトマズル,
7,4,ブルーシンフォニー,牡5,マーカ,美浦・伊藤圭,差し,18.5,5,7,,33.5,482(+10),阪神,259,中36週,Y,Y,3,スクリーンヒーロー,コマンズ,
8,4,レベレンシア,牡4,鮫島駿,栗東・安田翔,先行,29.5,8,15,,34.2,504(-2),札幌,148,中20週,Y,,3,ロードカナロア,ダンスインザダーク,
9,5,ダルエスサラーム B,牝3,浜中,栗東・高野,差し,44.4,10,4,,33.6,454(0),京都,56,中7週,Y,,3,ダイワメジャー,Tapit,
10,5,ルージュラテール,牝4,坂井,栗東・矢作,差し,10.6,3,2,,32.9,496(-2),京都,21,中2週,Y,,3,ハーツクライ,Mr. Greeley,
11,6,ミスボニータ,牝4,Ｍデム,美浦・斎藤誠,差し,141.2,15,12,,33.8,462(-2),東京,36,中4週,Y,,3,イスラボニータ,Street Boss,
12,6,レイベリング,牡3,横山武,美浦・鹿戸,差し,6.2,2,9,,33.9,478(0),東京,28,中3週,Y,,3,Frankel,Docksider,
13,7,シャイニングフジ,牝5,津村,栗東・笹田,差し,162.8,16,8,,35.5,506(+16),小倉,337,中47週,Y,Y,3,ドゥラメンテ,キングヘイロー,
14,7,ダノンティンパニー,牡5,川田,栗東・中内田,先行,1.6,1,1,,34.0,478(+4),阪神,273,中38週,Y,Y,3,ディープインパクト,Marju,
15,7,ベガリス,牝3,藤懸,栗東・高橋忠,,25.4,7,1,3歳以上2勝クラス,33.6,424(+2),東京,28,中3週,Y,,3,モーリス,キングカメハメハ,
16,8,ベルクレスタ,牝4,酒井,栗東・須貝,差し,54.4,11,9,,33.1,486(0),京都,56,中7週,Y,,3,ドゥラメンテ,Numerous,
17,8,サンライズロナウド,牡4,横山典,栗東・安田隆,逃げ,58.1,12,13,,37.8,478(+4),阪神,78,中10週,Y,,3,ハービンジャー,アドマイヤベガ,
18,8,アステロイドベルト B,セ6,松山,栗東・池江,差し,31.8,9,4,,32.8,490(+8),東京,36,中4週,Y,,3,ルーラーシップ,アグネスタキオン,
