馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,シリンガバルガリス,セ3,三浦,栗東・松永幹,逃げ,11.7,4,1,,36.5,490(-6),福島,35,中4週,Y,,3,オルフェーヴル,Flower Alley,
2,2,シュブリーム,牡7,吉田豊,美浦・大和田,追込,213.5,14,13,,33.4,490(+16),新潟,119,中16週,Y,,3,ジャングルポケット,ダンスインザダーク,
3,3,タガノバルコス,牡4,菅原明,栗東・鮫島,差し,18.2,8,5,,35.7,486(+10),東京,36,中4週,Y,,3,キタサンブラック,キングカメハメハ,
4,3,オウケンボルト,牡4,坂井,美浦・土田,,13.8,7,9,,36.9,452(-8),東京,36,中4週,Y,,3,フェノーメノ,オウケンブルースリ,
5,4,ヒシシュシュ,牝5,丹内,美浦・中舘,先行,7.1,3,4,3歳以上2勝クラス,34.6,416(0),中山,21,中2週,Y,,3,ディープインパクト,Posse,
6,4,ホウオウサンデー,牡5,田辺,美浦・奥村武,追込,6.7,2,1,3歳以上1勝クラス,34.5,462(+4),中山,84,中11週,Y,,3,キングカメハメハ,サンデーサイレンス,
7,5,ニシノファンフェア,牡3,永野,美浦・和田勇,差し,25.6,9,9,,38.2,478(+8),福島,50,中6週,Y,,3,ホッコータルマエ,スペシャルウィーク,
8,5,ジオフロント,牡5,ムルザ,栗東・清水久,先行,13.1,6,9,,36.2,470(+14),札幌,147,中20週,Y,,3,ハーツクライ,キングカメハメハ,
9,6,シャドウマッドネス,セ4,津村,美浦・和田勇,差し,64.2,11,6,3歳以上2勝クラス,36.8,440(+2),東京,71,中9週,Y,,3,オルフェーヴル,ネオユニヴァース,
10,6,サトノシャローム,牡6,丸山,栗東・池江,先行,34.6,10,8,3歳以上2勝クラス,35.3,510(+4),中山,21,中2週,Y,,3,ロードカナロア,O'Reilly,
11,7,シャインユニバンス,牝5,ムーア,美浦・田村,差し,2.0,1,2,3歳以上2勝クラス,34.2,434(0),中山,21,中2週,Y,,3,ルーラーシップ,ディープインパクト,
12,7,オウケンロジータ,牝6,田中勝,美浦・松永康,差し,124.7,13,6,3歳以上2勝クラス,34.8,524(0),中山,21,中2週,Y,,3,ルーラーシップ,キャプテンスティーヴ,
13,8,キントリヒ,牡4,戸崎圭,美浦・矢野,追込,12.9,5,4,,34.9,476(+14),中山,92,中12週,Y,,3,ゴールドシップ,ボストンハーバー,
14,8,マイネルメサイア,牡4,モリス,美浦・水野,先行,73.3,12,9,3歳以上2勝クラス,35.3,480(0),京都,42,中5週,Y,,3,ゴールドシップ,ロージズインメイ,
