着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,9,アラレタバシル,牡3,57.0,野中,1:54.8,,4,6.9,38.5,美浦根本,446(+4)
2,5,6,ネオシルバー,牡3,57.0,田辺,1:55.0,1.1/2,5,6.9,39.3,美浦小西,500(0)
3,1,1,ピュアキアン,牡3,57.0,吉田豊,1:55.1,3/4,7,19.7,40.2,美浦竹内,514(+6)
4,7,10,ロードブレイズ,牡3,57.0,三浦,1:55.3,3/4,3,5.2,39.2,美浦稲垣,488(+4)
5,5,7,モンサンアクシア,牡3,57.0,木幡巧,1:55.6,1.3/4,1,3.5,40.6,美浦牧,482(0)
6,2,2,バナマンテソーロ,牡3,56.0,☆原,1:55.7,1/2,11,43.6,40.5,美浦加藤士,498(0)
7,6,8,ブレードサクセス,牡3,57.0,丹内,1:56.0,2,12,56.8,40.6,美浦岩戸,492(+8)
8,3,3,ダイヤモンドナイツ,牡3,57.0,菅原明,1:56.0,ハナ,9,28.7,39.6,美浦田島,462(-8)
9,4,4,サンダーアラート,牡3,57.0,内田博,1:56.0,アタマ,6,19.2,40.0,美浦田中博,474(+2)
10,8,13,タイセイアディクト,牡3,56.0,☆佐々木,1:56.2,3/4,10,39.4,40.1,美浦池上,486(+4)
11,7,11,コスモジンバック,牡3,57.0,石川,1:57.4,7,13,59.4,41.7,美浦相沢,472(+8)
12,4,5,メッエフアパラ,牡3,54.0,▲小林勝,1:58.1,4,8,24.5,42.9,美浦辻,460(-6)
13,8,12,ボーイハンター,牝3,55.0,ルメー,2:00.6,大,2,4.2,44.6,美浦西田,456(-2)
