着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,3,ロードアヴニール,牡4,56.0,横山和,1:54.3,,1,2.4,38.7,栗東野中,490(-2)
2,7,13,アイブランコ,牡7,55.0,柴田善,1:54.4,1/2,6,12.0,39.2,美浦中野,540(+10)
3,3,5,ローズボウル,牡6,56.0,石川,1:54.4,クビ,9,31.5,38.2,美浦林,514(0)
4,3,6,グリューヴルム,牡5,56.0,キング,1:54.8,2.1/2,2,5.0,39.6,栗東大久保,496(+4)
5,7,14,ミヤビマドンナ,牝7,52.0,吉田豊,1:54.8,クビ,15,200.2,39.0,美浦中舘,450(+2)
6,8,15,トラモント,セ7,56.0,北村宏,1:54.9,クビ,5,10.2,40.0,美浦新開,502(+4)
7,1,1,ダノンブレット,牡6,57.0,横山武,1:54.9,クビ,4,7.3,39.1,美浦菊沢,522(+14)
8,4,8,ヒミノフラッシュ,牡6,56.0,ピーヒ,1:54.9,クビ,14,132.8,40.0,栗東川村,558(-2)
9,2,4,タイセイエピソード,牡5,55.0,佐々木,1:55.1,3/4,7,24.2,39.6,栗東杉山晴,482(-4)
10,6,11,タイセイスラッガー,牡6,54.0,原,1:55.3,1.1/2,11,78.7,39.6,美浦高橋裕,532(+4)
11,8,16,ヴェノム,牡6,51.0,小林美,1:56.0,4,16,323.8,39.2,美浦天間,546(0)
12,4,7,フォレストキャット,牝6,53.0,木幡巧,1:56.0,ハナ,13,93.7,40.7,栗東野中,472(+4)
13,6,12,フランスゴデイナ,牡6,56.0,田辺,1:56.4,2,3,6.5,41.5,栗東森秀,498(-2)
14,5,9,ロードバルドル,牡5,55.0,キング,1:56.6,1.1/2,12,82.9,41.8,美浦稲垣,478(0)
15,5,10,マイネルクロンヌ,牡7,57.0,丹内,1:57.1,2.1/2,8,27.3,42.2,美浦青木,518(+16)
16,1,2,ギャラクシーナイト,牡5,55.0,津村,1:58.2,7,10,51.8,42.8,美浦菊沢,512(+4)
