着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,8,パラレルヴィジョン,牡5,57.0,ルメー,1:32.3,,3,4.9,34.3,美浦国枝,502(+6)
2,5,9,グラティアス,牡6,57.0,横山和,1:32.5,1,6,16.1,34.3,栗東安田隆,504(0)
3,7,14,アナゴサン,牡6,57.0,キング,1:32.5,ハナ,9,37.4,34.7,栗東牧田,468(-10)
4,7,13,アライバル,牡5,57.0,ピーヒ,1:32.6,1,11,55.0,33.9,美浦栗田,496(0)
5,1,2,ダノンティンパニー,牡6,57.0,キング,1:32.6,ハナ,1,2.3,34.1,栗東中内田,478(0)
6,1,1,モントライゼ,牡6,58.0,石橋脩,1:32.7,クビ,13,251.6,35.0,栗東松永幹,518(+4)
7,6,11,ショウナンマグマ,牡5,58.0,戸崎圭,1:32.7,アタマ,7,25.3,34.7,美浦尾関,524(+4)
8,2,3,リューベック,牡5,57.0,菅原明,1:32.8,クビ,2,4.8,34.4,栗東須貝,500(-10)
9,6,12,フィールシンパシー,牝5,56.0,横山琉,1:33.0,1.1/4,4,7.5,34.8,美浦小島,452(+2)
10,8,15,カルリーノ,牡8,57.0,原,1:33.0,クビ,15,280.1,33.6,美浦高橋裕,526(+16)
11,4,7,ゴールデンシロップ,牡6,57.0,内田博,1:33.0,ハナ,12,210.7,34.7,美浦木村,540(+10)
12,3,5,ブラックマジック,牡7,57.0,吉田豊,1:33.1,クビ,16,301.7,34.6,美浦戸田,468(+8)
13,2,4,スパイダーゴールド,牡5,57.0,石川,1:33.1,ハナ,5,13.1,34.2,美浦鹿戸,496(-2)
14,8,16,アサヒ,牡5,57.0,田辺,1:33.1,アタマ,8,33.3,33.9,美浦金成,514(0)
15,3,6,コンバスチョン,牡5,58.0,横山武,1:33.5,2.1/2,10,44.3,34.5,美浦伊藤圭,506(0)
16,5,10,プルパレイ,セ5,58.0,津村,1:33.7,1.1/2,14,255.6,34.2,栗東須貝,488(-2)
