着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,ハーランズハーツ,牡7,58.0,藤岡佑,1:46.5,,13,73.5,34.7,栗東橋口,444(+2)
2,3,3,ダークエクリプス,牡5,58.0,松若,1:46.5,ハナ,5,8.2,35.5,栗東今野,484(+2)
3,5,8,ケイアイセナ,牡5,58.0,秋山真,1:46.6,1/2,1,3.9,35.8,栗東平田,480(-6)
4,3,4,トゥルーヴィル,牡7,58.0,斎藤,1:46.7,クビ,6,10.6,35.2,栗東小林,466(-4)
5,2,2,フィデル,牡5,58.0,モリス,1:46.7,クビ,7,12.8,35.5,栗東友道,498(+4)
6,4,5,ニューノーマル,牝5,56.0,佐々木,1:46.7,アタマ,2,5.5,35.5,美浦上原佑,458(-4)
7,5,7,ウィズユアドリーム,牡4,57.0,吉田隼,1:46.7,ハナ,4,7.0,36.0,栗東吉岡,500(-4)
8,7,11,ゴーゴーユタカ,牡5,58.0,黛,1:46.9,1.1/4,14,112.7,35.4,美浦武井,482(+2)
9,6,10,ウインリブルマン,牡6,58.0,丹内,1:47.0,アタマ,8,12.9,36.2,栗東飯田雄,526(+6)
10,8,14,シャイニングフジ,牝6,56.0,富田,1:47.0,クビ,11,40.9,35.5,栗東笹田,500(-6)
11,4,6,サウンドウォリアー,牡6,58.0,永島,1:47.0,アタマ,10,31.7,36.0,栗東高橋康,512(+10)
12,6,9,オメガリッチマン,牡4,57.0,藤岡康,1:47.2,1,9,17.3,35.8,栗東安田翔,440(+2)
13,7,12,ブラックシールド,牡5,58.0,幸,1:47.7,3.1/2,12,52.3,36.2,栗東武幸,452(-2)
14,8,13,ソレイユヴィータ,牝4,55.0,菱田,1:47.9,1,3,6.6,36.7,栗東杉山晴,460(+2)
