着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,ブラックボイス,牡5,60.0,石神,3:07.8,,4,6.1,13.1,美浦宮田,522(+6)
2,8,12,ヴェイルネビュラ,セ6,60.0,草野,3:08.0,1,3,5.9,13.1,美浦大竹,500(0)
3,8,11,エンデュミオン,牡7,60.0,小牧加,3:08.6,4,1,4.2,13.2,栗東清水久,462(-4)
4,5,5,メリディアンローグ,牡7,60.0,大江原,3:09.5,5,2,5.2,13.3,美浦蛯名正,496(+6)
5,7,9,サンデイビス,牡6,60.0,上野,3:09.6,1,11,37.0,13.3,美浦村田,506(-2)
6,6,7,レディステディゴー,牡6,60.0,中村,3:09.7,1/2,7,14.2,13.3,栗東中村,516(-6)
7,3,3,プンタアレナス,セ6,60.0,蓑島,3:09.8,1/2,5,7.1,13.3,美浦古賀,488(+6)
8,4,4,ヒストリアノワール,セ6,60.0,伴,3:11.4,10,10,34.0,13.4,美浦嘉藤,440(-4)
9,6,8,プラチナドリーム,牡5,60.0,黒岩,3:11.6,1.1/4,12,52.4,13.4,栗東平田,480(+8)
10,5,6,リバーシブルレーン,牡8,59.0,▲水沼,3:12.1,3,9,31.6,13.4,美浦辻,452(+14)
11,7,10,ファルヴォーレ,牡6,60.0,小坂,3:13.4,8,8,19.8,13.5,栗東高橋忠,472(+10)
中止,2,2,オシリスブレイン,牡7,60.0,五十嵐,,,6,7.9,,美浦田村,504(+2)
