着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,3,6,ハチメンロッピ,牡4,56.0,原,1:24.8,,6,23.9,35.5,美浦矢野,514(+4)
2,8,16,バグラダス,牡4,57.0,三浦,1:24.8,クビ,3,4.8,36.7,美浦嘉藤,482(+4)
3,4,8,マニバドラ,牡4,55.0,松岡,1:24.8,ハナ,8,35.6,37.0,栗東森秀,528(+12)
4,4,7,サトノルフィアン,牡5,57.0,横山武,1:24.9,1/2,2,3.0,36.6,栗東高橋康,514(-8)
5,7,14,ガラパゴス,牡5,55.0,横山和,1:25.0,クビ,5,17.5,36.1,栗東野中,490(-4)
6,6,12,レーヴリアン,牝6,54.0,菅原明,1:25.0,クビ,15,138.5,36.6,栗東緒方,494(0)
7,1,2,アイヴォリードレス,牝5,53.0,石川,1:25.1,クビ,10,76.1,36.7,美浦菊沢,476(+6)
8,1,1,プラチナジュビリー,牝4,54.0,田辺,1:25.1,クビ,1,2.9,37.0,美浦田村,502(+4)
9,2,4,リンカーンテソーロ,牡6,56.0,柴田大,1:25.4,1.3/4,14,126.5,36.8,美浦加藤士,478(+4)
10,8,15,ホッコーカリュウ,牝6,53.0,木幡巧,1:25.5,クビ,16,226.2,36.4,栗東飯田祐,478(-4)
11,2,3,フォーチュンテラー,牡5,56.0,川田,1:25.5,アタマ,4,7.1,36.7,栗東浜田,472(-12)
12,7,13,ニシノカシミヤ,牝4,54.0,大野,1:25.9,2.1/2,9,67.5,38.0,美浦伊藤圭,482(+2)
13,6,11,インヴァリアンス,セ6,55.0,ピーヒ,1:26.3,2.1/2,11,93.3,37.1,美浦尾関,492(+6)
14,5,9,ロードアラビアン,牡5,56.0,戸崎圭,1:26.4,1/2,7,27.2,37.7,栗東四位,520(+6)
15,5,10,レイニーデイ,牡6,56.0,江田照,1:26.5,1/2,12,101.0,37.9,美浦田村,562(+10)
中止,3,5,ハッピースワニー,牝5,54.0,キング,,,13,122.9,,栗東牧浦,432(+2)
