馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,エリカカリーナ,牝3,戸崎圭,美浦・宮田,差し,5.8,3,1,2歳未勝利,33.6,422(0),東京,63,中8週,Y,,2,ミッキーアイル,サクラバクシンオー,
2,2,ヴェルトラウム,牡3,ピーヒ,美浦・西田,追込,50.2,7,3,,35.5,448(+2),福島,76,中10週,Y,,2,ミッキーロケット,ダイワメジャー,
3,3,エイムフォーエース,牡3,本田重,地方・山下貴,追込,119.5,9,6,,33.5,430(-4),中山,21,中2週,Y,,1,サトノアラジン,ジャングルポケット,
4,4,ダノンマッキンリー,牡3,ルメー,栗東・藤原,先行,2.1,1,8,,35.3,468(0),阪神,41,中5週,Y,,3,モーリス,Holy Roman Emperor,
5,5,ジャスパーノワール,牡3,田辺,栗東・森秀,,10.6,5,3,,34.9,506(-6),中京,42,中5週,Y,,3,Frosted,Medaglia d'Oro,
6,6,ロジリオン,牡3,三浦,美浦・古賀,差し,3.4,2,2,,33.0,488(+14),東京,84,中11週,Y,,3,リオンディーズ,パイロ,
7,7,スピリットガイド,牡3,キング,美浦・手塚,差し,17.7,6,1,3歳1勝クラス,33.8,524(0),中山,21,中2週,Y,,3,Invincible Spirit,Dubawi,
8,7,オーキッドロマンス,牡3,内田博,美浦・手塚,先行,8.5,4,6,,41.9,486(0),園田,66,中8週,,,2,ロジャーバローズ,スニッツェル,
9,8,アイファーバトル,牡3,野中,美浦・根本,差し,122.4,10,5,,33.3,444(-4),中京,42,中5週,Y,,3,バトルプラン,ステイゴールド,
10,8,イサチルシーサイド,牡3,木幡初,美浦・竹内,先行,58.6,8,3,3歳1勝クラス,34.7,476(-2),中山,21,中2週,Y,,3,イスラボニータ,ファンタスティックライト,
