馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ニシノライコウ,牡4,内田博,美浦・古賀,差し,9.4,4,5,,32.9,502(+4),東京,70,中9週,Y,,3,エイシンヒカリ,ストリートセンス,
2,2,ディオスバリエンテ,セ6,キング,美浦・堀,差し,11.8,6,9,,35.5,482(+14),阪神,56,中7週,Y,,3,ロードカナロア,サンデーサイレンス,
3,3,スプレモフレイバー,牡4,吉田豊,美浦・久保田,先行,24.0,8,1,4歳以上2勝クラス,35.3,482(0),中山,20,中2週,Y,,3,ダイワメジャー,サクラバクシンオー,
4,3,アンダープロット,セ6,団野,美浦・加藤征,差し,203.3,13,11,,36.0,498(+8),函館,203,中28週,Y,Y,3,ハーツクライ,Kingmambo,
5,4,リアグラシア B,牝5,キング,美浦・木村,差し,11.7,5,2,,32.4,510(+4),東京,70,中9週,Y,,3,キングカメハメハ,Rockport Harbor,
6,4,ロワンディシー,牡6,松岡,栗東・北出,先行,119.6,10,5,,34.0,450(-4),京都,98,中13週,Y,,3,リオンディーズ,ステイゴールド,
7,5,ボーデン,牡6,ピーヒ,美浦・木村,差し,51.5,9,6,,33.1,508(+2),東京,85,中11週,Y,,3,ハービンジャー,キングカメハメハ,
8,5,サウンドウォリアー,牡6,松若,栗東・高橋康,先行,279.1,14,11,,36.0,514(+2),小倉,14,中1週,Y,,3,マジェスティックウォリアー,スペシャルウィーク,
9,6,テーオーグランビル,牡4,横山武,栗東・上村,先行,6.9,3,3,,32.8,506(0),東京,70,中9週,Y,,3,Lea,Tapit,
10,6,ミカッテヨンデイイ,牝4,西村太,美浦・堀内,先行,142.9,11,15,,35.7,422(0),中山,31,中3週,Y,,3,イスラボニータ,ステイゴールド,
11,7,コントラポスト,牡4,田辺,美浦・菊沢,差し,4.0,2,1,,34.4,464(0),中山,35,中4週,Y,,3,ルーラーシップ,フジキセキ,
12,7,アバンチュリエ,セ5,大野,美浦・大竹,差し,162.1,12,11,,34.9,470(+4),中山,31,中3週,Y,,3,モーリス,ディープインパクト,
13,8,コンクシェル B,牝4,戸崎圭,栗東・清水久,先行,14.0,7,18,,35.0,474(+4),京都,105,中14週,Y,,3,キズナ,Galileo,
14,8,クルゼイロドスル,牡4,川田,栗東・高橋忠,,2.3,1,2,,35.5,498(+6),中山,31,中3週,Y,,3,ファインニードル,アルカセット,
