着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,10,ペアポルックス,牡3,57.0,松若,1:08.7,,1,2.2,35.1,栗東梅田,474(-6)
2,8,11,ロードトレゾール,牡3,57.0,丹内,1:09.0,1.1/2,2,4.0,35.6,栗東清水久,516(+2)
3,2,2,クリノハレルヤ,牝3,55.0,富田,1:09.5,3,3,7.4,35.7,栗東武英,466(0)
4,5,6,アートフォーム,牝3,55.0,斎藤,1:09.6,1/2,7,27.1,35.5,栗東畑端,440(+12)
5,1,1,パルプフィクション,牝3,55.0,秋山真,1:09.7,3/4,12,73.5,35.7,栗東飯田祐,430(-8)
6,5,5,セントキルダ,牡3,57.0,北村友,1:09.7,クビ,9,44.8,35.4,栗東音無,466(-2)
7,6,8,ビアフォーナウ,牝3,55.0,小林凌,1:09.9,1.1/4,5,9.0,36.0,美浦池上,438(-4)
8,4,4,ベネメレンティ,牝3,55.0,佐々木,1:10.0,クビ,6,18.9,35.7,栗東河内,432(-2)
9,8,12,ハピアーザンエバー,牡3,57.0,藤岡康,1:10.1,1/2,11,73.0,36.3,栗東羽月,434(-4)
10,6,7,アイタカ,牝3,55.0,藤田菜,1:10.1,クビ,10,50.8,35.6,栗東谷,402(-12)
11,3,3,ルージュレベッカ,牝3,55.0,古川吉,1:10.3,1.1/4,8,42.3,35.8,栗東昆,442(-6)
12,7,9,シュークリーム,牝3,55.0,吉田隼,1:10.3,ハナ,4,7.6,36.7,栗東西村,426(-4)
