馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ガウラスパーク,牡3,池添,栗東・高柳大,,5.0,2,,,,532(0),,,,,,,ロジャーバローズ,フリオーソ,,
2,2,サンマルキングダム,牡3,国分優,栗東・大根田,,51.5,12,,,,516(0),,,,,,,アニマルキングダム,デザートキング,,
3,2,デルママントラ,牡3,川島,栗東・畑端,,137.7,14,,,,490(0),,,,,,,ストロングリターン,ワークフォース,,
4,3,トウエンノチカイ,牝3,横山和,美浦・竹内,,37.5,9,,,,540(0),,,,,,,サトノアラジン,サクラバクシンオー,,
6,4,ポートカルタヘナ,牝3,西村淳,栗東・畑端,,27.7,7,,,,468(0),,,,,,,モーニン,ティンバーカントリー,,
7,4,ゴールドラン,牡3,酒井,栗東・藤沢,,90.3,13,,,,478(0),,,,,,,シュヴァルグラン,タバスコキャット,,
8,5,ダノンザボルケーノ,牡3,横山典,美浦・菊沢,,2.9,1,,,,480(0),,,,,,,キタサンブラック,アイルハヴアナザー,,
9,5,エナアニマル,牡3,今村,栗東・吉田,,6.8,4,,,,442(0),,,,,,,アニマルキングダム,マンハッタンカフェ,,
10,6,ラジエーション,牝3,Ｍデム,栗東・新谷,,43.9,10,,,,462(0),,,,,,,インカンテーション,Catcher In The Rye,,
11,6,リアルカラー,牡3,田口,栗東・羽月,,8.6,6,,,,462(0),,,,,,,リアルスティール,サクラバクシンオー,,
12,7,ワイドマイスター,牡3,和田竜,栗東・辻野,,47.9,11,,,,504(0),,,,,,,エピカリス,キングカメハメハ,,
13,7,バンリイックウ,牡3,角田河,栗東・新谷,,29.4,8,,,,516(0),,,,,,,ヘニーヒューズ,ディープインパクト,,
14,8,ライペニング,牡3,松山,栗東・橋口,,8.0,5,,,,452(0),,,,,,,マインドユアビスケッツ,ネオユニヴァース,,
15,8,タガノフルチャンス,牡3,松若,栗東・平田,,6.6,3,,,,500(0),,,,,,,マジェスティックウォリアー,フジキセキ,,
