馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,モカラルビー,牝3,,栗東・四位,追込,45.2,11,9,2歳新馬,35.0,404(+4),阪神,140,中19週,Y,,1,サトノダイヤモンド,ステイゴールド,,
2,1,バーキン,牝3,国分恭,栗東・西園翔,追込,7.4,3,3,3歳未勝利,36.8,464(-10),小倉,21,中2週,Y,,3,ヘンリーバローズ,キングカメハメハ,,
3,2,キットハナガサク,牝3,藤岡康,美浦・武井,先行,3.6,1,4,3歳未勝利,36.0,450(0),中山,28,中3週,Y,,3,キズナ,シンボリクリスエス,,
4,2,シナモンデイジー,牝3,秋山稔,美浦・菊川,,48.5,12,9,3歳新馬,38.8,464(-8),中山,27,中3週,Y,,1,サトノダイヤモンド,メイショウサムソン,,B
5,3,ビーチピーチピール,牝3,鷲頭,栗東・大根田,差し,420.2,17,7,JRA交流,39.8,464(-9),佐賀,5,連闘,,,1,ビーチパトロール,スマートファルコン,,
6,3,ルージュピルエット,牝3,荻野極,栗東・大久保,追込,3.9,2,4,2歳新馬,33.4,472(-6),阪神,69,中9週,Y,,1,キズナ,カジノドライヴ,,
7,4,アストロラヴ,牝3,小林美,美浦・村田,差し,17.0,9,6,2歳未勝利,39.5,442(-2),中京,76,中10週,Y,,3,タリスマニック,ディープインパクト,,
8,4,リケアブロンシュ,牝3,石田,美浦・新開,差し,304.8,14,10,3歳未勝利,39.6,452(-2),小倉,13,中1週,Y,,3,アルデバランII,Galileo,,
9,5,ナイトプラネット,牝3,,美浦・青木,追込,412.1,16,10,3歳未勝利,37.3,444(0),小倉,14,中1週,Y,,3,ダノンシャンティ,アイルハヴアナザー,,
10,5,パステルツェ,牝3,北村友,栗東・清水久,,10.6,6,,,,440(0),,,,,,,ルーラーシップ,サンデーサイレンス,,
11,6,アリストクラシア,牝3,吉田隼,栗東・吉岡,先行,8.9,4,4,3歳未勝利,37.5,466(+4),小倉,21,中2週,Y,,2,ハーツクライ,Quality Road,,
12,6,セントオブシン,牝3,丹内,栗東・高野,差し,33.7,10,5,2歳新馬,34.5,432(-2),阪神,76,中10週,Y,,1,ドゥラメンテ,フジキセキ,,
13,7,マベルシュシュット,牝3,永島,栗東・今野,差し,14.5,7,4,3歳新馬,37.1,458(-2),小倉,13,中1週,Y,,1,ドゥラメンテ,Teofilo,,
14,7,ウーバークイーン,牝3,横山琉,美浦・相沢,先行,15.7,8,6,3歳未勝利,35.6,482(0),中山,35,中4週,Y,,2,バゴ,キンシャサノキセキ,,
15,8,ダークファンタジー,牝3,佐々木,栗東・須貝,先行,9.9,5,4,3歳未勝利,37.5,410(0),小倉,14,中1週,Y,,3,スワーヴリチャード,メイショウサムソン,,
16,8,ファミリー,牝3,河原田,栗東・渡辺,差し,273.2,13,11,2歳未勝利,42.5,420(-14),京都,111,中15週,Y,,3,ダイワメジャー,Compton Place,,
17,8,ワイドセレブ,牝3,富田,栗東・笹田,追込,380.0,15,11,3歳未勝利,36.5,442(-16),小倉,27,中3週,Y,,2,ホークビル,スマートファルコン,,
