着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,8,ポルカリズム,牝4,55.0,藤岡佑,1:48.1,,1,2.6,35.4,栗東中内田,484(+14)
2,8,11,ドラゴンヘッド,牡4,57.0,藤岡康,1:48.1,アタマ,4,10.8,35.2,美浦武藤,456(+2)
3,2,2,イッツオンリーユー,牝4,55.0,北村友,1:48.2,1/2,6,12.1,35.9,美浦手塚,472(-2)
4,1,1,エピメテウス,牡4,56.0,☆佐々木,1:48.4,1,2,4.3,35.6,美浦堀,534(+18)
5,8,12,タイラーテソーロ,牡5,58.0,丹内,1:48.6,1.1/4,9,34.1,35.7,美浦栗田,464(-8)
6,3,3,バレンタインソング,牡4,57.0,斎藤,1:48.6,アタマ,11,118.9,36.2,栗東小崎,446(-8)
7,5,5,テイエムエメラルド,牝6,54.0,△西塚,1:48.7,1/2,8,21.2,35.4,栗東飯田雄,474(0)
8,4,4,ヴェルテンベルク,牡4,57.0,富田,1:48.8,1/2,3,4.4,35.1,栗東宮本,470(-14)
9,7,9,ディープグラビティ,セ5,55.0,▲鷲頭,1:48.8,クビ,7,19.4,35.8,美浦菊沢,452(0)
10,7,10,セルジュ,牡6,58.0,丸山,1:48.9,クビ,10,81.4,36.0,美浦中川,512(+6)
11,5,6,コウセイマリア,牝4,52.0,▲土田,1:49.6,4,12,193.7,36.4,美浦和田雄,412(+16)
12,6,7,ブルーウィン,牝4,54.0,☆秋山稔,1:49.8,1.1/2,5,11.9,37.4,栗東清水久,446(-2)
