着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,1,ブラックボイス,牡5,60.0,石神,3:48.6,,2,4.3,13.5,美浦宮田,518(-4)
2,7,8,ジューンベロシティ,牡6,61.0,高田,3:48.9,1.3/4,1,2.2,13.5,栗東武英,466(-2)
3,3,3,ニューツーリズム,セ8,60.0,伴,3:49.1,1.1/4,6,12.3,13.5,美浦黒岩,516(-4)
4,8,10,タイキフロリゼル,牡6,60.0,黒岩,3:49.2,1/2,8,74.8,13.5,栗東谷,476(-2)
5,4,4,スヴァルナ,牡9,60.0,森一,3:49.5,1.3/4,5,11.5,13.5,栗東池江,526(+4)
6,7,7,ロードトゥフェイム,牡6,60.0,五十嵐,3:49.8,2,4,6.0,13.6,美浦尾形,502(-16)
7,8,9,マイネルヴァッサー,牡11,60.0,小野寺,3:49.9,クビ,7,42.5,13.6,美浦土田,424(+2)
8,5,5,アサクサゲンキ,セ9,61.0,小牧加,3:50.0,1,3,5.4,13.6,栗東音無,480(+2)
9,6,6,シングンジョーイ,牡6,59.0,水沼,3:53.9,大,10,199.7,13.8,美浦伊坂,462(+4)
中止,2,2,タガノペルマネンテ,牝7,57.0,中村,,,9,110.1,,栗東平田,450(-6)
