着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,15,スイープアワーズ,牡4,58.0,武豊,1:33.3,,4,8.4,33.7,栗東友道,440(-4)
2,2,4,オーシャントライブ,牡4,58.0,ムルザ,1:33.4,3/4,5,9.9,34.0,栗東高柳大,460(+2)
3,1,1,ヨウシタンレイ,牝4,53.0,▲今村,1:33.7,2,6,20.2,34.9,栗東松永昌,464(-4)
4,1,2,トレチーメ,牡4,58.0,Aルメ,1:33.8,1/2,3,5.3,34.7,栗東中内田,526(+2)
5,3,6,パルクリチュード,牝4,56.0,西村淳,1:33.9,クビ,2,4.2,34.9,栗東松永幹,446(0)
6,6,11,デッドリー,牝4,56.0,中井,1:34.0,3/4,8,31.0,34.8,栗東中内田,448(-2)
7,8,16,メイショウタクボク,牡4,58.0,太宰,1:34.0,クビ,14,141.4,34.5,栗東高橋亮,460(+4)
8,2,3,タガノミア,牝5,55.0,☆角田河,1:34.1,クビ,9,35.1,35.2,栗東河内,466(+4)
9,5,10,ウインバリオス,牡5,58.0,Mデム,1:34.2,3/4,13,105.9,35.0,栗東加用,480(+20)
10,4,7,コントディヴェール,牝5,56.0,酒井,1:34.2,アタマ,7,30.6,34.8,栗東清水久,502(+10)
11,3,5,イヴィステラ,牝5,56.0,岩田康,1:34.2,クビ,16,152.0,34.6,美浦小島,468(-2)
12,5,9,ロードスパイラル,牡4,58.0,岩田望,1:34.3,1/2,12,72.1,34.4,栗東清水久,498(+36)
13,6,12,ダノンブリザード,牡5,58.0,松山,1:35.3,6,1,2.5,36.2,栗東池江,502(+2)
14,7,14,ポルトドール,牡4,58.0,幸,1:35.4,3/4,15,144.8,36.2,栗東小栗,460(-10)
15,8,17,ダークモード,牡4,58.0,北村友,1:35.4,ハナ,11,63.5,36.5,栗東藤岡,490(+6)
16,7,13,ドリアード,牝6,55.0,☆田口,1:35.4,ハナ,10,62.9,36.0,栗東佐々木,482(+2)
17,4,8,レガーミ,牝5,56.0,古川吉,1:35.9,3,17,374.3,36.9,栗東木原,526(-2)
