馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,クインズステラ,牝5,,美浦・池上,差し,13.4,6,11,,36.2,462(+4),福島,113,中15週,Y,,3,ジャスタウェイ,Leroidesanimaux,
2,2,セイレジーナ,牝4,小林凌,美浦・天間,差し,319.8,10,12,B1一組,38.7,438(-12),水沢,75,中10週,,,0,インカンテーション,エンパイアメーカー,
3,3,サトノリーベ,牝5,北村友,栗東・藤原,差し,6.6,4,8,,35.6,432(-6),小倉,28,中3週,Y,,3,ディープインパクト,Star Dabbler,
4,4,ムガ,牝5,鷲頭,栗東・大根田,追込,55.3,8,7,4歳以上1勝クラス,37.6,474(+10),中京,400,中56週,Y,Y,3,キズナ,ウォーエンブレム,
5,5,ユイ,牝5,小沢,栗東・高橋康,,8.0,5,2,4歳以上1勝クラス,36.7,448(-2),小倉,14,中1週,Y,,3,ロードカナロア,マンハッタンカフェ,
6,6,イッツオンリーユー,牝4,丹内,美浦・手塚,差し,3.1,1,3,4歳以上1勝クラス,35.9,468(-4),小倉,8,連闘,Y,,3,ハーツクライ,Giant's Causeway,
7,7,マスキュリン,牝4,,栗東・新谷,差し,4.4,3,3,,36.0,440(0),小倉,28,中3週,Y,,3,ワンアンドオンリー,デインヒル,
8,7,モンサンメリッサ,牝4,丸山,栗東・杉山佳,先行,15.3,7,5,3歳新馬,34.3,518(+24),中京,412,中58週,Y,Y,1,ドゥラメンテ,Vindication,
9,8,コウセイマリア,牝4,土田,美浦・和田雄,差し,156.7,9,11,4歳以上1勝クラス,36.4,410(-2),小倉,8,連闘,Y,,3,リアルスティール,キングカメハメハ,
10,8,フラッシングレート,牝4,鮫島駿,栗東・音無,差し,3.7,2,5,,35.1,470(-10),小倉,28,中3週,Y,,3,ミッキーロケット,ファルブラヴ,
