馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ダイメイセブン,牡4,河原田,栗東・本田,逃げ,18.2,7,11,4歳以上1勝クラス,36.9,514(-4),小倉,15,中1週,Y,,3,マクフィ,スパイキュール,,
2,2,アズマサクラエモン,牡4,田口,栗東・加用,差し,87.5,9,9,障害4歳以上未勝利,13.8,530(+8),小倉,14,中1週,Y,,3,デクラレーションオブウォー,アドマイヤムーン,,
3,3,ケイアイメキラ,セ4,和田竜,栗東・村山,先行,9.8,4,2,JRA交流,40.3,456(-1),姫路,38,中4週,,,1,パイロ,クロフネ,,
4,4,ネッケツシャチョウ,牡4,荻野琢,栗東・藤沢,差し,1.6,1,4,4歳以上1勝クラス,36.5,548(-6),京都,28,中3週,Y,,3,リオンディーズ,シンボリクリスエス,,
5,5,アナザーエース,牡4,泉谷,栗東・宮,,32.6,8,6,JRA交流,42.5,508(-4),姫路,38,中4週,,,2,ヤマカツエース,タバスコキャット,,B
6,6,アヘッド,牝4,池添,栗東・中竹,差し,14.3,5,10,3歳以上1勝クラス,39.2,472(-6),阪神,85,中11週,Y,,3,Frankel,ディープインパクト,,
7,7,ナウズザタイム,牝4,今村,栗東・安田隆,先行,17.3,6,6,4歳以上1勝クラス,38.7,454(-2),京都,14,中1週,Y,,3,リアルインパクト,ジャングルポケット,,
8,7,シアープレジャー,牝7,長岡,栗東・緒方,先行,313.3,10,12,4歳以上1勝クラス,38.4,454(+10),京都,35,中4週,Y,,3,マツリダゴッホ,Kelly Kip,,
9,8,スカパラダイス,牡4,松山,栗東・寺島,差し,5.1,2,7,4歳以上1勝クラス,37.9,470(+6),小倉,14,中1週,Y,,3,シルバーステート,グラスワンダー,,B
10,8,ゴールデンマイク,牡4,岩田康,栗東・森秀,差し,8.9,3,5,3歳未勝利,39.6,512(+16),函館,225,中31週,Y,Y,3,Justify,Cat Thief,,
