着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,10,ヴィスマール,牡3,57.0,ムルザ,2:16.1,,1,1.8,36.5,栗東奥村豊,450(+2)
2,7,9,タマモランプ,牡3,57.0,池添,2:16.2,3/4,2,2.4,36.8,栗東池添,458(-6)
3,5,6,アルレジャン,牡3,57.0,北村友,2:16.4,1.1/4,6,39.0,37.3,栗東藤原,514(+8)
4,5,5,オンザプラネット,牡3,56.0,☆田口,2:16.7,2,3,11.1,37.4,栗東佐々木,494(0)
5,3,3,ベルベストランナー,牡3,57.0,松山,2:16.7,ハナ,4,12.1,36.9,栗東西村,466(+2)
6,1,1,エイシンローテイト,牡3,57.0,松若,2:17.0,1.3/4,12,327.2,36.7,栗東高橋康,504(-2)
7,4,4,ブラックライズ,牡3,57.0,和田竜,2:17.1,1/2,9,92.3,37.8,栗東清水久,454(-2)
8,6,7,ロンギングキイ,牝3,55.0,西村淳,2:17.1,ハナ,8,48.5,37.5,栗東新谷,470(0)
9,8,11,アマルフィレモン,牡3,57.0,酒井,2:17.8,4,11,281.6,38.0,美浦天間,408(-6)
10,6,8,サイコウダネ,牡3,53.0,★古川奈,2:18.0,1.1/4,10,142.8,39.0,栗東清水久,452(0)
11,2,2,ラインフォルテ,牡3,57.0,鮫島駿,2:18.6,3.1/2,7,46.6,38.6,栗東長谷川,476(-4)
12,8,12,アルマーザアミール,牡3,57.0,団野,2:18.7,クビ,5,34.1,39.3,栗東斉藤崇,480(0)
