着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,4,グランサバナ,牡4,58.0,ルメー,1:52.9,,1,2.8,38.4,美浦田村,504(0)
2,7,13,ストライク,牡4,58.0,石橋脩,1:53.1,1.1/4,5,9.8,38.3,美浦加藤士,502(+2)
3,4,7,ジルバーン,牡5,58.0,戸崎圭,1:53.4,1.3/4,2,4.9,38.5,栗東緒方,428(-2)
4,5,9,ソムリエ,牡4,58.0,横山琉,1:53.5,クビ,8,25.6,38.5,美浦相沢,454(0)
5,2,3,クロースコンバット,牡5,58.0,北村宏,1:53.5,クビ,4,9.3,38.7,美浦青木,502(-8)
6,3,5,バックトゥザライト,牡4,58.0,岩田望,1:53.5,ハナ,7,10.4,38.4,栗東辻野,514(0)
7,5,10,ヒューゴ,牡4,58.0,西村淳,1:53.6,アタマ,11,44.9,38.2,美浦加藤征,446(-6)
8,8,16,ララエフォール,牡5,58.0,菅原明,1:53.7,3/4,6,10.2,37.4,美浦和田雄,496(-2)
9,6,11,スズカルビコン,牡6,58.0,松岡,1:53.7,クビ,16,300.9,39.1,美浦堀内,522(+4)
10,6,12,エリンアキレウス,牡4,58.0,丹内,1:53.9,3/4,3,8.1,39.0,美浦清水英,542(+4)
11,1,1,ファイヴレター,牡7,58.0,黛,1:53.9,クビ,13,86.6,38.6,美浦佐藤吉,480(+6)
12,4,8,ピオノノ,牡7,58.0,横山和,1:54.0,1/2,12,71.9,37.4,美浦奥村武,526(+4)
13,7,14,サイモンソーラン,牡5,58.0,田辺,1:54.1,クビ,10,37.3,39.5,美浦勢司,486(0)
14,3,6,イエローウィン,牝5,56.0,杉原,1:54.2,3/4,15,204.6,39.1,美浦菊川,482(0)
15,1,2,シグナルファイアー,牝4,56.0,武士沢,1:54.2,ハナ,9,26.9,38.5,美浦水野,468(-12)
16,8,15,エクストラノート,セ7,58.0,原,1:54.5,2,14,93.6,38.9,美浦加藤和,484(-2)
