着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,4,ガラスノブルース,牡3,57.0,ルメー,1:12.9,,1,3.0,37.4,美浦田村,438(-4)
2,7,13,マサノヒーロー,牡3,57.0,戸崎圭,1:13.6,4,2,3.9,37.9,美浦大竹,462(0)
3,6,11,メイショウソムリエ,牡3,57.0,横山武,1:13.7,クビ,3,4.5,37.5,美浦蛯名正,500(-6)
4,5,9,ネイルンノ,牡3,57.0,杉原,1:14.0,2,10,105.0,38.4,美浦尾関,454(-8)
5,8,16,フォルスタクラス,牡3,57.0,三浦,1:14.0,ハナ,5,11.5,38.2,美浦上原博,466(0)
6,5,10,シーニックビュー,牡3,57.0,坂井,1:14.4,2.1/2,8,46.5,38.2,美浦加藤征,506(0)
7,3,6,キングクレオール,牡3,57.0,丹内,1:14.8,2.1/2,6,20.2,37.7,美浦和田雄,458(+2)
8,4,8,ハツワカ,牡3,56.0,☆原,1:14.8,ハナ,9,63.6,38.9,美浦矢野,466(-2)
9,2,3,ゴールデンレイ,牡3,57.0,武藤,1:15.2,2.1/2,16,422.8,39.4,美浦武藤,472(+10)
10,6,12,ミハタタテナシ,牡3,57.0,木幡巧,1:15.2,クビ,12,223.2,38.4,美浦岩戸,510(0)
11,1,2,スーパーナニー,牝3,51.0,★大江比,1:15.4,1,14,348.8,38.6,美浦武市,414(-8)
12,8,15,シェリングフォード,牡3,57.0,柴田大,1:16.2,5,7,26.3,40.1,美浦粕谷,486(-16)
13,4,7,フォーメリトゥム,牝3,55.0,木幡初,1:16.5,1.3/4,13,248.5,40.1,美浦武市,406(-8)
14,3,5,ゴンザーゴ,牡3,57.0,北村宏,1:16.6,1/2,4,4.8,39.8,美浦黒岩,454(+8)
15,7,14,コアクト,牝3,55.0,丸田,1:16.8,1,11,200.8,40.7,美浦宗像,446(-4)
16,1,1,マッドリボンガール,牝3,52.0,▲小林勝,1:18.5,10,15,405.4,41.1,美浦鈴木慎,414(0)
