着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,6,ストライク,牡4,58.0,石橋脩,1:51.2,,3,5.2,37.1,美浦加藤士,496(-6)
2,8,14,メイショウカゲカツ,牡5,58.0,三浦,1:51.3,1/2,5,9.4,37.6,栗東西園正,508(+4)
3,4,7,カンピオーネ,牡5,58.0,横山武,1:51.4,3/4,2,4.5,36.9,美浦栗田,520(0)
4,8,15,ジャスパーバローズ,牡4,58.0,岩田望,1:51.5,1/2,4,5.7,37.8,栗東清水久,502(-10)
5,3,5,ティアップリオン,牡6,58.0,荻野極,1:51.5,ハナ,9,33.2,37.5,美浦奥平,482(0)
6,3,4,トーセンクライスト,牡5,58.0,丸田,1:51.6,3/4,7,17.6,36.8,美浦宗像,522(-6)
7,6,11,ヨンク,牡8,58.0,田辺,1:52.0,2,10,46.8,37.7,美浦小笠,510(+2)
8,1,1,アイファーエポック,牡5,58.0,野中,1:52.0,ハナ,6,14.3,37.9,美浦根本,484(-4)
9,2,2,サパテアール,セ5,58.0,丹内,1:52.0,アタマ,1,3.6,38.2,美浦畠山,510(-8)
10,6,10,ナンヨーヴィヨレ,牡6,58.0,木幡初,1:52.2,1,11,54.5,37.9,美浦宗像,464(-4)
11,5,8,サイモンソーラン,牡5,58.0,吉田豊,1:52.2,クビ,13,96.4,37.5,美浦勢司,480(-6)
12,7,12,ショウナンガロ,牡4,58.0,菅原明,1:52.5,2,8,22.4,37.3,美浦武市,502(+2)
13,2,3,フォーワンセルフ,牡5,58.0,横山和,1:52.6,クビ,14,128.2,37.3,美浦小手川,542(+6)
14,7,13,スズカルビコン,牡6,58.0,松岡,1:53.2,3.1/2,15,143.3,39.1,美浦堀内,518(-4)
15,5,9,イエローウィン,牝5,56.0,Mデム,1:53.8,3.1/2,12,57.5,39.2,美浦菊川,474(-8)
