馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ドンカルロ,牡4,中村,栗東・高柳大,差し,68.6,10,11,,13.6,464(0),小倉,28,中3週,Y,,3,ドレフォン,ディープインパクト,,
2,2,スワヤンブナート,セ5,小野寺,栗東・坂口,先行,4.4,2,2,,13.3,516(0),小倉,42,中5週,Y,,3,ジャスタウェイ,Country Reel,,
3,3,ニューツーリズム,セ8,,美浦・黒岩,先行,17.8,6,3,,13.5,518(+2),小倉,35,中4週,Y,,3,ドリームジャーニー,マンハッタンカフェ,,B
4,4,オールザワールド,牡7,森一,栗東・中竹,先行,2.1,1,1,,13.3,472(-6),小倉,42,中5週,Y,,3,キズナ,Dansili,,
5,5,サイード,セ5,小牧加,栗東・角田,先行,7.3,4,2,,13.3,498(0),小倉,63,中8週,Y,,3,キズナ,ボストンハーバー,,
6,6,ブレッシングレイン,セ7,草野,美浦・木村,差し,25.8,7,5,,13.4,506(+4),小倉,63,中8週,Y,,3,ディープインパクト,Unbridled's Song,,
7,6,タマモワカムシャ,セ5,井上,栗東・川村,追込,47.2,9,2,,13.4,484(-4),小倉,56,中7週,Y,,3,キズナ,アフリート,,
8,7,フィロロッソ,牡7,西谷誠,栗東・中竹,,15.3,5,13,,13.4,500(0),東京,147,中20週,Y,,3,ハービンジャー,シンボリクリスエス,,
9,7,ハーツシンフォニー,セ7,石神深,美浦・辻,追込,84.6,11,11,,13.9,474(+4),中山,98,中13週,Y,,3,ハーツクライ,Giant's Causeway,,B
10,8,タイキフロリゼル,牡6,黒岩,栗東・谷,差し,44.4,8,4,,13.5,474(-2),小倉,35,中4週,Y,,3,リオンディーズ,クロフネ,,
11,8,エンデュミオン,牡7,上野,栗東・清水久,,5.4,3,1,,13.3,472(+4),小倉,28,中3週,Y,,3,ヴィクトワールピサ,ブライアンズタイム,,
