着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,8,16,ドライゼ,牝5,56.0,田辺,1:53.1,,4,12.6,37.0,栗東須貝,496(+4)
2,5,10,フォレストキャット,牝6,56.0,木幡巧,1:53.1,クビ,16,148.6,36.7,栗東野中,472(0)
3,1,2,リバートゥルー,牝4,56.0,吉田豊,1:53.1,ハナ,5,13.7,36.4,美浦久保田,456(0)
4,6,11,クインズミモザ,牝6,56.0,野中,1:53.1,ハナ,9,24.6,36.9,美浦池上,510(-4)
5,7,13,コンスタンティン,牝5,56.0,松岡正,1:53.2,クビ,8,19.7,37.7,栗東石坂,488(-10)
6,3,5,ミファヴォリート,牝5,56.0,岩田康,1:53.4,1.1/2,7,17.5,37.6,美浦辻,494(+6)
7,1,1,フレンチギフト,牝5,56.0,内田博,1:53.5,クビ,12,43.8,36.5,美浦中川,472(-6)
8,7,14,スノーグレース,牝5,56.0,武藤,1:53.5,クビ,13,47.3,37.3,美浦中舘,482(-10)
9,4,7,クレメダンジュ,牝4,56.0,石橋脩,1:53.6,1/2,6,14.4,38.0,栗東鈴木孝,468(-2)
10,3,6,ラニカイ,牝5,56.0,石川,1:53.8,3/4,14,78.4,37.6,栗東松永幹,506(+8)
11,4,8,ガウラ,牝4,56.0,古川吉,1:53.8,クビ,10,26.1,37.3,栗東鈴木孝,478(0)
12,2,3,マナウス,牝5,56.0,丸山,1:54.1,1.3/4,15,104.0,38.6,栗東田中克,476(0)
13,2,4,フラッパールック,牝4,56.0,丹内,1:54.2,クビ,1,1.7,38.4,美浦林,458(-8)
14,6,12,ヘニータイフーン,牝4,56.0,三浦,1:54.2,アタマ,2,11.9,38.3,栗東中村,488(0)
15,8,15,プレミアムスマイル,牝5,56.0,小崎,1:54.2,アタマ,11,32.8,38.8,栗東福永,506(-4)
16,5,9,メイショウオーロラ,牝4,56.0,柴田善,1:54.9,4,3,12.5,38.8,栗東本田,486(-2)
