馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,カズミクラーシュ,牡3,菅原明,栗東・吉岡,差し,9.3,5,1,3歳未勝利,34.4,482(-10),阪神,20,中2週,Y,,3,モーリス,キングカメハメハ,
2,1,ドリーミングアップ,牡3,吉田豊,美浦・高橋文,差し,94.3,12,4,,33.6,460(+2),中京,20,中2週,Y,,3,エピファネイア,ディープインパクト,
3,2,ボンドガール,牝3,武豊,美浦・手塚,差し,3.2,1,2,,34.1,450(-4),東京,182,中25週,Y,Y,2,ダイワメジャー,Tizway,
4,2,ユキノロイヤル,牡3,石橋脩,美浦・小野,先行,37.5,9,1,3歳1勝クラス,35.0,444(0),中山,21,中2週,Y,,3,ディーマジェスティ,タイキシャトル,
5,3,ルージュスエルテ,牝3,横山和,美浦・国枝,逃げ,5.8,4,3,,33.5,468(-2),東京,56,中7週,Y,,3,ハーツクライ,Storm Cat,
6,3,エンヤラヴフェイス B,牡3,北村宏,栗東・森田,追込,33.0,8,8,,34.5,488(0),中京,21,中2週,Y,,3,エイシンヒカリ,Devil's Bag,
7,4,エコロブルーム,牡3,横山武,美浦・加藤征,先行,4.7,3,2,,36.1,472(+8),京都,89,中12週,Y,,3,ダイワメジャー,Candy Ride,
8,4,クリーンエア,牡3,松岡,美浦・上原博,先行,190.4,16,3,3歳1勝クラス,35.7,468(-4),中山,35,中4週,Y,,3,リアルインパクト,Street Cry,
9,5,デビッドテソーロ B,牡3,,美浦・小手川,先行,136.1,14,1,3歳1勝クラス,35.6,466(0),中山,42,中5週,Y,,3,スワーヴリチャード,Camelot,
10,5,エイムフォーエース,牡3,森泰斗,地方・山下貴,追込,158.2,15,14,,34.9,428(-2),中京,21,中2週,Y,,3,サトノアラジン,ジャングルポケット,
11,6,キャプテンシー,牡3,Ｍデム,栗東・松永幹,,4.1,2,1,,34.6,468(+6),中山,91,中12週,Y,,3,モーリス,ステイゴールド,
12,6,シャインズオンユー,牡3,石川,美浦・青木,先行,109.1,13,4,3歳1勝クラス,34.7,446(-2),東京,56,中7週,Y,,3,サトノクラウン,ファスリエフ,
13,7,ブライトマン,牡3,三浦,美浦・蛯名正,差し,32.7,7,6,,33.9,480(0),東京,49,中6週,Y,,3,キズナ,Kitten's Joy,
14,7,オーサムストローク,牡3,田辺,美浦・伊藤圭,先行,38.8,10,14,,35.6,442(+2),阪神,111,中15週,Y,,3,エピファネイア,Frankel,
15,8,スパークリシャール,牡3,浜中,美浦・小島,先行,22.9,6,1,3歳1勝クラス,35.4,476(-8),中山,35,中4週,Y,,3,スワーヴリチャード,シンボリクリスエス,
16,8,サトミノキラリ,牡3,内田博,美浦・鈴木伸,差し,75.3,11,11,,34.7,464(0),中京,21,中2週,Y,,3,ビッグアーサー,ディープインパクト,
