馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ジューンベロシティ,牡6,森一,栗東・武英,先行,20.8,5,2,,13.5,466(0),小倉,49,中6週,Y,,3,ロードカナロア,シンボリクリスエス,
2,2,エコロデュエル,牡5,小野寺,美浦・岩戸,差し,14.7,4,2,,13.6,474(-2),阪神,35,中4週,Y,,3,キタサンブラック,Giant's Causeway,
3,3,ワンダークローバー,牡6,難波,栗東・森田,追込,130.7,8,6,,13.7,474(+4),阪神,35,中4週,Y,,3,ゴールドシップ,キングカメハメハ,
4,4,マイネルグロン,牡6,石神深,美浦・青木,先行,1.1,1,1,,13.5,514(-2),阪神,35,中4週,Y,,3,ゴールドシップ,ブライアンズタイム,
5,5,ビレッジイーグル,牡7,大江圭,美浦・竹内,,21.7,6,1,,13.3,512(-4),中山,28,中3週,Y,,3,ベーカバド,ニューイングランド,
6,5,タマモワカムシャ,セ5,中村,栗東・川村,追込,332.5,12,6,,13.6,474(-10),阪神,14,中1週,Y,,3,キズナ,アフリート,
7,6,ポルタフォリオ,牡6,小牧加,栗東・角田,先行,303.2,10,11,,13.5,492(-4),中山,28,中3週,Y,,3,ハーツクライ,ストリートセンス,
8,6,イロゴトシ,牡7,黒岩,栗東・牧田,差し,12.2,2,13,,34.5,468(-8),中山,27,中3週,Y,,3,ヴァンセンヌ,クロフネ,
9,7,ギガバッケン B,セ9,,美浦・岩戸,差し,285.4,9,7,,13.4,536(0),中山,28,中3週,Y,,3,アイルハヴアナザー,マンハッタンカフェ,
10,7,ニシノデイジー,牡8,五十嵐,美浦・高木,先行,14.2,3,4,,13.7,504(-2),阪神,35,中4週,Y,,3,ハービンジャー,アグネスタキオン,
11,8,フロールシュタット,牡5,上野,美浦・戸田,差し,315.6,11,4,,13.5,468(-8),小倉,42,中5週,Y,,3,クロフネ,スウェプトオーヴァーボード,
12,8,ダイシンクローバー,セ8,高田,栗東・高橋一,先行,123.4,7,6,,13.8,490(+6),中山,112,中15週,Y,,3,キンシャサノキセキ,Fusaichi Pegasus,
