着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,3,ディスペランツァ,牡3,57.0,モレイ,1:34.1,,1,3.2,32.4,栗東吉岡,514(-6)
2,1,2,アレンジャー,牡3,57.0,横山典,1:34.1,1/2,15,176.0,32.9,栗東昆,460(-2)
3,4,7,チャンネルトンネル,牡3,57.0,坂井,1:34.1,ハナ,4,6.6,32.5,栗東福永,476(-4)
4,5,9,ワールズエンド,牡3,57.0,ムルザ,1:34.2,1/2,6,21.6,32.1,栗東池添,462(-2)
5,1,1,ポッドテオ,牡3,57.0,北村宏,1:34.4,1.1/4,7,24.0,33.5,美浦畠山,464(-6)
6,8,15,オフトレイル,牡3,57.0,武豊,1:34.5,クビ,5,9.6,32.8,栗東吉村,436(-4)
7,4,8,タイキヴァンクール,牡3,57.0,幸,1:34.5,ハナ,12,87.1,33.4,栗東中尾,502(-6)
8,7,13,ジュンヴァンケット,牡3,57.0,岩田望,1:34.7,1.1/4,2,3.7,33.3,栗東友道,460(-4)
9,3,5,シヴァース,牡3,57.0,川田,1:34.8,1/2,3,4.6,33.3,栗東友道,440(+2)
10,8,16,タガノデュード,牡3,57.0,古川吉,1:34.9,3/4,9,37.4,33.0,栗東宮,482(0)
11,7,14,ケイケイ,セ3,57.0,岩田康,1:35.3,2.1/2,10,71.9,33.7,美浦杉浦,456(-8)
12,6,11,セレスト,牡3,57.0,川端,1:35.3,アタマ,16,573.4,33.0,栗東羽月,426(0)
13,6,12,アスクワンタイム,牡3,57.0,松若,1:35.5,1,11,74.6,33.5,栗東梅田,454(-4)
14,3,6,グローリーアテイン,牡3,57.0,松山,1:35.6,1,13,123.3,33.6,美浦金成,488(-4)
15,2,4,シンドリームシン,牡3,57.0,浜中,1:35.7,クビ,14,137.0,33.5,栗東武幸,494(+22)
16,5,10,トップオブザロック,牡3,57.0,Mデム,1:38.1,大,8,33.2,35.6,栗東石坂,492(-8)
