着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,3,ラップスター,牡4,58.0,川田,1:54.7,,2,3.2,37.4,栗東森秀,520(+14)
2,7,12,ランスノーブル,牝4,56.0,田辺,1:54.7,アタマ,4,8.7,37.1,美浦上原博,460(-4)
3,3,4,マンマリアーレ,牝4,56.0,三浦,1:55.0,2,1,1.9,37.6,美浦高木,468(-4)
4,5,8,サクラジェンヌ,牝5,53.0,▲長浜,1:55.5,3,12,234.3,38.2,美浦和田勇,488(-2)
5,7,13,タマモエイトビート,牡5,58.0,江田照,1:55.6,3/4,10,91.5,38.2,美浦村田,508(-2)
6,4,7,ポイズンアロウ,セ5,58.0,北村宏,1:55.7,1/2,14,301.7,37.2,美浦古賀,534(+2)
7,4,6,クールシェルタ,牡5,58.0,吉田豊,1:55.8,1,9,81.2,37.8,美浦高橋文,492(-10)
8,1,1,エメリヨン,牝4,56.0,横山武,1:55.9,1/2,5,14.7,38.3,美浦加藤士,454(-6)
9,3,5,ヒルズカーン,牡4,58.0,菅原明,1:56.0,1/2,3,8.0,37.4,美浦松永康,494(+2)
10,8,15,ウッドショック,牡5,58.0,松山,1:56.0,ハナ,7,44.1,37.5,美浦杉浦,514(-2)
11,2,2,クリノフラッグ,牝5,55.0,☆原,1:56.5,3,13,285.9,38.2,美浦蛯名利,462(0)
12,5,9,クリスプブリーズ,牡4,58.0,野中,1:56.6,1/2,11,147.7,38.4,美浦菊川,500(+2)
13,6,11,キュピドン,牡4,58.0,ムルザ,1:57.0,2.1/2,8,48.7,39.4,栗東森秀,522(+37)
14,6,10,トゥピ,牝4,56.0,勝浦,1:57.6,4,6,25.0,39.3,美浦田村,470(+6)
15,8,14,グレースレニー,牝4,56.0,原田和,1:57.9,1.1/2,15,610.5,39.9,美浦南田,462(-4)
