馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,コルデアニル B,牝4,藤田菜,美浦・金成,差し,135.5,15,12,,37.3,456(-2),東京,64,中8週,Y,,3,モーリス,フジキセキ,
2,1,ラウルピドゥ,牡5,佐々木,栗東・吉村,先行,19.8,9,11,,36.0,470(-16),小倉,57,中7週,Y,,3,ハービンジャー,サクラバクシンオー,
3,2,マイネルメサイア,牡5,武藤,美浦・水野,,27.4,11,5,,36.7,484(+4),中山,14,中1週,Y,,3,ゴールドシップ,ロージズインメイ,
4,2,フェミナフォルテ,牝4,横山琉,美浦・小島,差し,20.7,10,6,4歳以上2勝クラス,35.3,424(+8),中山,91,中12週,Y,,3,エピファネイア,ジャングルポケット,
5,3,シリンガバルガリス,セ4,富田,栗東・松永幹,先行,13.9,6,5,,38.1,492(+2),小倉,84,中11週,Y,,3,オルフェーヴル,Flower Alley,
6,3,メイショウウネビ,牡5,角田和,栗東・本田,差し,7.7,3,5,,35.7,484(-8),中京,22,中2週,Y,,3,メイショウサムソン,キングカメハメハ,
7,4,シリアルノヴェル,牡4,吉田隼,美浦・伊藤圭,先行,8.8,5,1,,35.2,476(-4),小倉,64,中8週,Y,,3,ノヴェリスト,キングカメハメハ,
8,4,タガノバルコス,牡5,西塚,栗東・鮫島,差し,31.6,12,6,,36.1,484(-2),中山,43,中5週,Y,,3,キタサンブラック,キングカメハメハ,
9,5,シルバープリペット,牡4,嶋田,美浦・松山,差し,388.6,16,11,4歳以上2勝クラス,35.1,464(-8),中山,22,中2週,Y,,3,レッドファルクス,エイシンフラッシュ,
10,5,ジューンレインボー,牝5,永島,栗東・小椋,追込,87.9,14,7,,35.5,426(-4),阪神,21,中2週,Y,,3,キズナ,エルコンドルパサー,
11,6,トロピカルライト,牝4,丸田,美浦・宗像,差し,3.2,1,5,,33.9,476(0),東京,57,中7週,Y,,3,キズナ,フレンチデピュティ,
12,6,リニュー B,牡5,,美浦・清水英,先行,58.7,13,1,4歳以上1勝クラス,36.5,454(0),小倉,49,中6週,Y,,3,ルーラーシップ,サンデーサイレンス,
13,7,マイネルカンパーナ,牡4,丹内,美浦・青木,先行,14.4,7,1,4歳以上1勝クラス,34.3,406(-6),京都,56,中7週,Y,,3,ゴールドシップ,Linamix,
14,7,シャインユニバンス,牝6,石橋脩,美浦・田村,差し,5.8,2,4,,35.7,434(0),中山,43,中5週,Y,,3,ルーラーシップ,ディープインパクト,
15,8,パープルクラウド,牡4,永野,栗東・吉村,逃げ,15.4,8,1,,35.3,514(+4),小倉,42,中5週,Y,,3,ドゥラメンテ,Galileo,
16,8,フルール,牝4,荻野極,美浦・上原佑,差し,8.2,4,2,,34.9,492(+8),中山,14,中1週,Y,,3,キズナ,Malibu Moon,
