馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,アマミツツキ,牝3,吉村,栗東・宮本,先行,46.6,11,1,3歳未勝利,38.1,466(+6),阪神,28,中3週,Y,,3,レイデオロ,マンハッタンカフェ,,
2,2,アンデスビエント,牝3,岩田望,栗東・西園正,先行,4.7,3,4,3歳1勝クラス,38.1,468(+4),阪神,28,中3週,Y,,3,ドレフォン,タートルボウル,,
3,2,ブラックドレス,牝3,角田河,栗東・谷,先行,127.2,14,1,3歳未勝利,39.0,420(-6),中京,22,中2週,Y,,3,ブラックタイド,ロージズインメイ,,
4,3,スマートプレシャス,牝3,田中健,栗東・中村,,10.5,7,5,3歳1勝クラス,38.5,490(-2),阪神,28,中3週,Y,,3,シャンハイボビー,スマートファルコン,,
5,3,ハリウッドパーク,牝3,松若,栗東・長谷川,差し,4.5,2,4,3歳1勝クラス,40.2,494(+10),京都,97,中13週,Y,,3,カリフォルニアクローム,シンボリクリスエス,,
6,4,テーオールビー,牝3,斎藤,栗東・宮,,9.8,6,7,,36.7,444(-2),中山,21,中2週,Y,,3,サンダースノー,マンハッタンカフェ,,
7,4,グレイトフルペイン,牝3,団野,栗東・茶木,差し,38.9,10,6,3歳1勝クラス,35.2,454(-4),中山,22,中2週,Y,,3,ダイワメジャー,ワイルドラッシュ,,
8,5,ブリーズオンチーク,牝3,北村友,栗東・高野,先行,23.8,9,6,,38.5,456(-2),小倉,77,中10週,Y,,3,ニューイヤーズデイ,サンデーサイレンス,,
9,5,ペイシャコパ,牝3,酒井,栗東・坂口,先行,17.7,8,6,3歳1勝クラス,38.9,458(-4),京都,84,中11週,Y,,3,コパノリッキー,フレンチデピュティ,,
10,6,レオテミス,牝3,鮫島駿,栗東・高柳大,,9.7,4,11,,38.6,490(+6),中京,119,中16週,Y,,3,デクラレーションオブウォー,アドマイヤジャパン,,B
11,6,ラッキーマリリン,牝3,藤懸,栗東・鈴木孝,差し,51.5,12,5,3歳1勝クラス,39.6,474(0),阪神,15,中1週,Y,,3,ホッコータルマエ,ネオユニヴァース,,
12,7,ルフトクス,牝3,亀田,栗東・杉山晴,先行,9.7,5,1,3歳未勝利,37.1,448(-6),小倉,64,中8週,Y,,3,ニューイヤーズデイ,クロフネ,,
13,7,レイクスター,牝3,岩田康,栗東・上村,先行,4.4,1,1,3歳未勝利,39.1,480(+2),京都,56,中7週,Y,,2,マジェスティックウォリアー,アグネスタキオン,,
14,8,ウフフトルンナ,牝3,国分優,栗東・大根田,逃げ,320.9,15,1,名古屋CC,38.7,512(-1),名古屋,32,中4週,,,2,タリスマニック,キングカメハメハ,,
15,8,バガリーロータス,牝3,田口,栗東・石坂,,63.2,13,1,2歳未勝利,38.0,444(-4),阪神,127,中17週,Y,,3,サンダースノー,ハーツクライ,,
