着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,4,6,テーオールビー,牝3,55.0,斎藤,1:53.3,,6,9.8,39.0,栗東宮,444(-2)
2,2,2,アンデスビエント,牝3,55.0,岩田望,1:53.3,クビ,3,4.7,39.1,栗東西園正,468(+4)
3,6,11,ラッキーマリリン,牝3,55.0,藤懸,1:54.7,8,12,51.5,38.8,栗東鈴木孝,474(0)
4,3,5,ハリウッドパーク,牝3,55.0,松若,1:54.8,1/2,2,4.5,39.3,栗東長谷川,494(+10)
5,3,4,スマートプレシャス,牝3,55.0,田中健,1:55.3,3,7,10.5,40.5,栗東中村,490(-2)
6,5,8,ブリーズオンチーク,牝3,55.0,北村友,1:55.3,アタマ,9,23.8,39.8,栗東高野,456(-2)
7,7,13,レイクスター,牝3,55.0,岩田康,1:55.3,ハナ,1,4.4,40.1,栗東上村,480(+2)
8,5,9,ペイシャコパ,牝3,55.0,酒井,1:55.3,クビ,8,17.7,40.2,栗東坂口,458(-4)
9,4,7,グレイトフルペイン,牝3,55.0,団野,1:55.4,クビ,10,38.9,39.9,栗東茶木,454(-4)
10,7,12,ルフトクス,牝3,55.0,亀田,1:55.9,3,5,9.7,40.7,栗東杉山晴,448(-6)
11,2,3,ブラックドレス,牝3,54.0,☆角田河,1:56.1,1.1/4,14,127.2,40.5,栗東谷,420(-6)
12,1,1,アマミツツキ,牝3,52.0,▲吉村,1:56.3,1,11,46.6,41.5,栗東宮本,466(+6)
13,8,14,ウフフトルンナ,牝3,55.0,国分優,1:56.5,1.1/2,15,320.9,41.2,栗東大根田,512(-1)
14,6,10,レオテミス,牝3,55.0,鮫島駿,1:57.0,3,4,9.7,42.5,栗東高柳大,490(+6)
15,8,15,バガリーロータス,牝3,54.0,☆田口,2:05.8,大,13,63.2,50.3,栗東石坂,444(-4)
