馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ヴィヴァン,牡6,岩田望,栗東・池江,先行,3.5,1,3,,35.8,488(-10),中京,21,中2週,Y,,3,ハーツクライ,Kitten's Joy,
2,2,ハンベルジャイト,牝4,吉村,栗東・大久保,,51.2,10,12,4歳以上2勝クラス,38.3,490(-10),京都,78,中10週,Y,,3,ジャスタウェイ,クロフネ,
3,2,ニフェーデービル,牡4,岩田康,美浦・中舘,差し,20.1,7,10,4歳以上2勝クラス,37.4,492(+6),東京,77,中10週,Y,,3,ルーラーシップ,ゴールドアリュール,
4,3,トーアエレクトロン,牡6,酒井,栗東・羽月,差し,342.6,13,9,4歳以上2勝クラス,37.6,466(+2),阪神,28,中3週,Y,,3,ディスクリートキャット,アグネスデジタル,
5,3,カマチョクイン,牝4,鮫島駿,栗東・橋口,差し,6.8,5,3,4歳以上2勝クラス,37.3,448(-6),阪神,14,中1週,Y,,3,シニスターミニスター,ファスリエフ,
6,4,サラサハウプリティ,牝4,田口,栗東・岡田,先行,6.1,4,1,4歳以上1勝クラス,38.1,436(0),阪神,36,中4週,Y,,3,ドレフォン,Medaglia d'Oro,
7,4,バトゥーキ,牡4,水口,栗東・浜田,差し,4.9,2,5,4歳以上2勝クラス,35.3,478(0),阪神,21,中2週,Y,,3,ラニ,サウスヴィグラス,
8,5,テイエムファクター,牡5,角田河,栗東・木原,差し,481.9,15,15,,37.0,462(0),中京,21,中2週,Y,,3,ザファクター,アグネスタキオン,
9,5,ファムスパーブ,牝5,長岡,栗東・小林,追込,344.9,14,9,はりまや盃,39.2,448(+1),高知,19,中2週,,,1,ハーツクライ,Giant's Causeway,
10,6,リュクスウォリアー,牡7,藤懸,栗東・平田,先行,62.6,11,5,,36.9,510(+2),阪神,126,中17週,Y,,3,マジェスティックウォリアー,ダイワメジャー,
11,6,マイネルサハラ B,牡5,斎藤,美浦・和田雄,先行,131.3,12,8,4歳以上2勝クラス,39.4,476(+2),阪神,36,中4週,Y,,3,シンボリクリスエス,アグネスデジタル,
12,7,エイシンレジューム B,牡4,小崎,栗東・中尾,先行,5.3,3,1,4歳以上1勝クラス,35.7,510(-6),中京,22,中2週,Y,,3,サトノクラウン,キングカメハメハ,
13,7,エムズマインド,牡4,太宰,栗東・荒川,差し,25.0,9,10,4歳以上2勝クラス,38.4,512(-10),阪神,14,中1週,Y,,3,マインドユアビスケッツ,フジキセキ,
14,8,ケイアイオメガ,牡5,丸山,栗東・梅田,先行,21.2,8,12,,34.7,462(0),阪神,15,中1週,Y,,3,ビッグアーサー,トワイニング,
15,8,スズカコーズ B,牡4,団野,美浦・伊藤圭,差し,11.5,6,3,4歳以上2勝クラス,38.0,500(+10),阪神,28,中3週,Y,,3,スズカコーズウェイ,サンデーサイレンス,
