馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,ライクアフラワー,牡4,石神深,美浦・松永康,差し,14.1,4,4,,34.5,488(-6),福島,6,連闘,Y,,3,アメリカンペイトリオット,ステイゴールド,
2,2,ステークホルダー,牡4,川端,美浦・斎藤誠,,5.5,3,2,4歳以上1勝クラス,34.8,464(-2),福島,13,中1週,Y,,3,ハービンジャー,アドマイヤムーン,
3,3,ハウファアイルゴー,牝5,土田,美浦・松山,追込,412.5,14,13,4歳以上1勝クラス,38.5,452(-10),中山,34,中4週,Y,,3,トーセンジョーダン,Danehill Dancer,
4,3,アンタノバラード,牝4,菅原明,美浦・伊藤大,先行,14.2,5,7,,35.1,426(-8),福島,6,連闘,Y,,3,ダノンバラード,ストーミングホーム,
5,4,アイムファイン,牝5,藤田菜,美浦・奥平,先行,58.5,10,8,4歳以上1勝クラス,35.1,400(-2),福島,6,連闘,Y,,3,エイシンフラッシュ,ディープインパクト,
6,4,ディアドコス,牡4,松本,栗東・羽月,差し,4.5,2,2,,34.5,498(0),福島,6,連闘,Y,,3,ネロ,マンハッタンカフェ,
7,5,エールトゥヘヴン,牡5,丹内,美浦・戸田,差し,2.1,1,2,4歳以上1勝クラス,34.3,464(-2),福島,14,中1週,Y,,3,ロードカナロア,アドマイヤベガ,
8,5,アポロルタ,牝5,菊沢,美浦・村田,差し,19.5,8,5,4歳以上1勝クラス,34.1,452(+4),福島,14,中1週,Y,,3,アポロキングダム,スペシャルウィーク,
9,6,ライブリームーラン,牝4,菱田,美浦・大竹,先行,18.4,7,9,4歳以上1勝クラス,35.2,510(+2),福島,14,中1週,Y,,3,リアルスティール,Shamardal,
10,6,ピースフルナイト,牝4,亀田,栗東・高野,先行,37.9,9,9,,34.2,398(-6),小倉,90,中12週,Y,,3,ファインニードル,クロフネ,
11,7,シンデレラスマイル,牝4,武藤,美浦・武藤,差し,92.6,12,13,4歳以上1勝クラス,35.2,432(0),福島,6,連闘,Y,,3,キンシャサノキセキ,Pivotal,
12,7,ウインアステロイド B,牡7,岩田望,美浦・和田郎,先行,16.4,6,4,4歳以上1勝クラス,35.3,460(-14),小倉,48,中6週,Y,,3,リアルインパクト,ジャングルポケット,
13,8,クレイプマートル,牝4,嶋田,美浦・石毛,追込,341.3,13,10,,35.1,522(-4),福島,6,連闘,Y,,1,ジョーカプチーノ,ホワイトマズル,
14,8,ハートホイップ,牝5,鮫島駿,美浦・蛯名利,先行,74.8,11,4,3歳以上1勝クラス,35.7,490(+4),函館,279,中39週,Y,Y,3,ジョーカプチーノ,クロフネ,
