馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,トゥードジボン,牡5,藤岡佑,栗東・四位,,15.3,5,11,,35.4,488(+2),阪神,28,中3週,Y,,3,イスラボニータ,Yesbyjimminy,
2,1,スパイダーゴールド,牡5,西村淳,美浦・鹿戸,先行,123.0,14,4,,34.0,494(+4),東京,85,中11週,Y,,3,ダイワメジャー,Candy Ride,
3,2,セリフォス,牡5,川田,栗東・中内田,差し,3.1,2,7,,0.0,498(+12),シャティン,133,中18週,,,2,ダイワメジャー,Le Havre,
4,2,リューベック,牡5,浜中,栗東・須貝,差し,75.2,12,10,,34.7,510(+6),京都,71,中9週,Y,,3,ハービンジャー,スペシャルウィーク,
5,3,エアロロノア,セ7,,栗東・笹田,差し,69.0,11,5,,34.4,488(-16),東京,315,中44週,Y,Y,3,キングカメハメハ,ロックオブジブラルタル,
6,3,ビーアストニッシド,牡5,和田竜,栗東・小崎,先行,158.2,16,12,,35.8,476(-4),阪神,28,中3週,Y,,3,アメリカンペイトリオット,ネオユニヴァース,
7,4,ノースザワールド,牡6,北村友,美浦・斎藤誠,差し,182.7,17,6,,34.6,490(+4),阪神,28,中3週,Y,,3,ディープインパクト,Giant's Causeway,
8,4,トランキリテ,牡5,武豊,栗東・松永幹,差し,9.9,3,2,,33.4,470(0),京都,71,中9週,Y,,3,ルーラーシップ,ゼンノロブロイ,
9,5,ニホンピロキーフ,牡4,田口,栗東・大橋,差し,16.6,6,1,,34.9,480(0),小倉,49,中6週,Y,,3,キタサンブラック,スウェプトオーヴァーボード,
10,5,コレペティトール,牡4,岩田康,栗東・中竹,差し,13.9,4,1,,35.3,486(+6),京都,106,中14週,Y,,3,ジャスタウェイ,コロナドズクエスト,
11,6,アリストテレス,牡7,古川吉,栗東・上村,差し,146.2,15,6,,34.1,490(-6),阪神,49,中6週,Y,,3,エピファネイア,ディープインパクト,
12,6,ソーヴァリアント,牡6,池添,美浦・大竹,先行,18.4,7,12,,37.8,504(-16),中山,56,中7週,Y,,3,オルフェーヴル,シンボリクリスエス,
13,7,セッション,牡4,坂井,栗東・斉藤崇,先行,19.3,8,7,,35.0,516(+6),中山,22,中2週,Y,,3,シルバーステート,Dubawi,
14,7,ソウルラッシュ,牡6,,栗東・池江,差し,2.4,1,4,,0.0,512(+5),シャティン,133,中18週,,,2,ルーラーシップ,マンハッタンカフェ,
15,8,フリームファクシ,牡4,富田,栗東・須貝,差し,97.4,13,11,,33.8,510(0),東京,77,中10週,Y,,3,ルーラーシップ,スペシャルウィーク,
16,8,ボルザコフスキー,牡5,吉村,栗東・清水久,差し,64.2,10,1,,34.2,512(0),阪神,28,中3週,Y,,3,キズナ,Orpen,
17,8,エエヤン,牡4,Ｍデム,美浦・伊藤大,,24.3,9,2,,35.2,478(-6),中山,22,中2週,Y,,3,シルバーステート,ティンバーカントリー,
