馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,マイネルヒッツェ,牡6,泉谷,美浦・粕谷,先行,129.8,9,12,4歳以上1勝クラス,36.8,470(-2),福島,14,中1週,Y,,3,ゴールドシップ,アドマイヤマックス,
2,2,サンズオブタイム,牡6,荻野極,美浦・和田勇,差し,31.0,7,8,,36.4,496(-4),小倉,56,中7週,Y,,3,ディープブリランテ,Red Ransom,
3,3,アンテロース,牡4,,栗東・岡田,,9.2,5,5,4歳以上1勝クラス,36.2,440(-4),福島,14,中1週,Y,,3,モーリス,ディープインパクト,
4,4,スピーディブレイク B,牡4,丹内,美浦・村田,追込,2.6,1,2,,35.4,444(0),中京,29,中3週,Y,,3,マクフィ,ディープインパクト,
5,5,フェスティヴビーム,牡4,佐々木,美浦・畠山,先行,14.4,6,3,4歳以上1勝クラス,35.5,456(+2),福島,14,中1週,Y,,3,リアルスティール,アグネスタキオン,
6,6,ウイニングライブ B,牡4,小林勝,美浦・金成,差し,166.4,10,7,4歳以上1勝クラス,35.3,432(-8),中山,14,中1週,Y,,3,ハービンジャー,ディープインパクト,
7,7,グランドゴールド,牡5,丸山,栗東・羽月,差し,5.6,3,4,,35.6,456(0),小倉,50,中6週,Y,,3,ジャスタウェイ,キングカメハメハ,
8,7,アドマイヤイル,牡4,杉原,栗東・友道,差し,6.7,4,10,,35.9,540(+8),阪神,393,中55週,Y,Y,3,Saxon Warrior,Invincible Spirit,
9,8,テラフォーミング,牡5,永野,美浦・相沢,先行,3.2,2,2,4歳以上1勝クラス,35.2,484(+2),福島,14,中1週,Y,,3,エピファネイア,ルーラーシップ,
10,8,コスモダークナイト,牡5,角田和,栗東・吉田,差し,45.4,8,5,,36.2,500(+2),小倉,56,中7週,Y,,3,ハーツクライ,マイネルラヴ,
