馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,フォレストキャット,牝6,富田,栗東・野中,差し,19.1,8,2,,36.7,476(+4),中山,27,中3週,Y,,3,スマートファルコン,Northern Afleet,
2,2,グラストンベリー,牝5,北村友,栗東・藤岡,,17.3,7,8,,39.1,438(-2),小倉,70,中9週,Y,,3,ロードカナロア,キンシャサノキセキ,
3,3,メイショウオーロラ,牝4,角田河,栗東・本田,差し,15.1,6,16,,38.8,484(-2),中山,27,中3週,Y,,3,ホッコータルマエ,エンパイアメーカー,
4,4,スノーグレース,牝5,武藤,美浦・中舘,追込,27.9,11,8,,37.3,482(0),中山,27,中3週,Y,,3,ドレフォン,サンデーサイレンス,
5,4,スマートムーラン,牝5,荻野極,栗東・大久保,差し,118.4,13,10,,37.9,460(-6),小倉,70,中9週,Y,,3,エピファネイア,アグネスタキオン,
6,5,ミファヴォリート,牝5,丸山,美浦・辻,先行,3.9,1,6,,37.6,490(-4),中山,27,中3週,Y,,3,キングカメハメハ,Pulpit,
7,5,フレンチギフト B,牝5,斎藤,美浦・中川,差し,6.2,4,7,,36.5,472(0),中山,27,中3週,Y,,3,シニスターミニスター,フレンチデピュティ,
8,6,プメハナ,牝4,西塚,栗東・鮫島,差し,21.5,9,1,4歳以上2勝クラス,37.9,462(-4),阪神,42,中5週,Y,,3,エスケンデレヤ,キングカメハメハ,
9,6,リアグラシア,牝5,杉原,美浦・木村,先行,6.4,5,6,,33.8,504(-6),東京,90,中12週,Y,,3,キングカメハメハ,Rockport Harbor,
10,7,ヨリノサファイヤ,牝4,藤田菜,美浦・根本,先行,6.0,3,1,4歳以上2勝クラス,38.1,512(-6),中山,41,中5週,Y,,3,コパノリッキー,クロフネ,
11,7,ラニカイ,牝5,佐々木,栗東・松永幹,差し,29.1,12,10,,37.6,508(+2),中山,27,中3週,Y,,3,ラニ,Mr. Prospector,
12,8,レリジールダモーレ,牝5,横山琉,栗東・高橋忠,差し,26.8,10,12,,37.7,458(+4),小倉,70,中9週,Y,,3,キングカメハメハ,フジキセキ,
13,8,ピースオブザライフ,牝4,丹内,栗東・野中,先行,5.5,2,1,4歳以上2勝クラス,36.8,478(-10),京都,7,連闘,Y,,3,キタサンブラック,シンボリクリスエス,
