馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,トウシンマカオ,牡5,菅原明,美浦・高柳瑞,差し,4.2,3,6,,34.2,480(+2),中京,48,中6週,Y,,3,ビッグアーサー,スペシャルウィーク,
2,2,リュミエールノワル,牡5,川田,美浦・上原佑,先行,6.4,4,1,,34.3,476(0),東京,21,中2週,Y,,3,ロードカナロア,ディープインパクト,
3,2,ソーヴァリアント,牡6,モレイ,美浦・大竹,差し,8.5,5,5,,35.3,508(+4),京都,20,中2週,Y,,3,オルフェーヴル,シンボリクリスエス,
4,3,レッドモンレーヴ,牡5,横山和,美浦・蛯名正,差し,4.1,2,15,,37.2,512(0),中山,76,中10週,Y,,3,ロードカナロア,ディープインパクト,
5,3,クリノガウディー,牡8,松岡,栗東・藤沢,先行,275.9,14,14,,37.6,506(-4),中山,34,中4週,Y,,3,スクリーンヒーロー,ディアブロ,
6,4,プルパレイ,セ5,オシェ,栗東・須貝,差し,69.3,12,2,,32.7,490(-2),京都,6,連闘,Y,,3,イスラボニータ,Fusaichi Pegasus,
7,4,グランデマーレ,牡7,津村,栗東・藤岡,差し,51.1,11,15,,35.8,502(0),中山,42,中5週,Y,,3,ロードカナロア,ネオユニヴァース,
8,5,アネゴハダ,牝5,三浦,栗東・佐々木,差し,74.5,13,1,,34.2,452(-8),中山,118,中16週,Y,,3,キズナ,ウォーエンブレム,
9,5,ダノンスコーピオン,牡5,戸崎圭,栗東・福永,差し,18.6,6,13,,35.2,464(+2),阪神,140,中19週,Y,,3,ロードカナロア,Sligo Bay,
10,6,ロードマックス,牡6,吉田豊,栗東・中村,差し,342.0,15,14,,34.8,444(-6),福島,34,中4週,Y,,3,ディープインパクト,Dubawi,
11,6,スズハローム,牡4,鮫島駿,栗東・牧田,差し,26.9,8,1,,33.7,452(+2),阪神,41,中5週,Y,,3,サトノダイヤモンド,ローレルゲレイロ,
12,7,メイショウチタン,牡7,柴田善,栗東・本田,,47.6,9,1,,35.0,468(-10),新潟,13,中1週,Y,,3,ロードカナロア,マイネルラヴ,
13,7,ダディーズビビッド,牡6,浜中,栗東・千田,差し,20.0,7,5,,34.4,500(0),中山,42,中5週,Y,,3,キズナ,フレンチデピュティ,
14,8,バルサムノート,牡4,北村友,栗東・高野,追込,48.4,10,9,,34.1,492(-2),中山,70,中9週,Y,,3,モーリス,ダイワメジャー,
15,8,ウインマーベル B,牡5,松山,美浦・深山,差し,3.7,1,12,,34.6,480(-2),中京,48,中6週,Y,,3,アイルハヴアナザー,フジキセキ,
