馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,シャビーシック,牝3,河原田,栗東・西村,先行,79.1,9,7,3歳未勝利,39.1,482(+2),中京,63,中8週,Y,,3,ロードカナロア,サクラバクシンオー,,
2,2,ビルカバンバ,牡3,杉原,美浦・大和田,先行,193.2,11,9,3歳1勝クラス,35.6,492(+4),中山,69,中9週,Y,,3,ディープブリランテ,フサイチコンコルド,,
3,2,スマートスコープ,牡3,永島,美浦・加藤征,先行,4.8,2,3,3歳未勝利,37.5,500(-4),中山,49,中6週,Y,,3,ヘニーヒューズ,サウスヴィグラス,,B
4,3,ナムラオルトロス,牡3,川端,栗東・大橋,先行,281.3,13,17,3歳未勝利,35.2,438(-8),京都,20,中2週,Y,,2,グレーターロンドン,ショウナンカンプ,,
5,3,ミスエル,牡3,大江比,美浦・菊沢,先行,7.5,3,4,3歳未勝利,38.0,474(+8),福島,27,中3週,Y,,3,ディスクリートキャット,ダイワメジャー,,
6,4,ミハタタテナシ,牡3,菊沢,美浦・岩戸,先行,23.3,6,5,3歳未勝利,38.7,502(-2),新潟,14,中1週,Y,,2,モーニン,クロフネ,,
7,4,キタノヒコボシ,牡3,岩部,美浦・萱野,差し,493.6,15,10,3歳未勝利,40.5,444(-4),中山,41,中5週,Y,,2,メイショウボーラー,フジキセキ,,
8,5,セールヴォラン,牡3,小林勝,栗東・北出,先行,34.0,7,15,3歳未勝利,38.9,444(-8),中京,69,中9週,Y,,3,グァンチャーレ,Swiss Spirit,,
9,5,モリノセピア,牡3,小林美,美浦・鈴木伸,,1.6,1,3,3歳未勝利,36.2,470(-10),東京,6,連闘,Y,,3,エスポワールシチー,アルデバランII,,
10,6,リナリア,牝3,,美浦・伊坂,差し,57.1,8,8,3歳未勝利,37.3,426(-8),小倉,91,中12週,Y,,3,アメリカンペイトリオット,アグネスタキオン,,
11,6,ブレーザー,牡3,嶋田,美浦・伊坂,,95.2,10,,,,530(0),,,,,,,シゲルカガ,Birdstone,,
12,7,タイセイマーシャル,牡3,亀田,栗東・杉山晴,差し,11.5,4,11,3歳未勝利,38.2,470(-4),中京,56,中7週,Y,,3,ヘニーヒューズ,ジャングルポケット,,B
13,7,スキップライト,牡3,石田,美浦・宗像,追込,198.3,12,15,2歳新馬,38.3,496(-10),東京,209,中29週,Y,Y,1,イスラボニータ,Oasis Dream,,
14,8,ダイチジェム,牡3,佐々木,美浦・粕谷,先行,12.9,5,11,3歳未勝利,40.4,490(-12),中山,70,中9週,Y,,3,トビーズコーナー,ノボジャック,,
15,8,メイショウムラゲ,牡3,小沢,栗東・鮫島,差し,323.5,14,13,3歳新馬,40.8,456(+12),京都,125,中17週,Y,,1,ホッコータルマエ,ゼンノロブロイ,,
