馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ベレッタ,牡3,横山和,美浦・萩原,差し,21.0,6,7,3歳未勝利,34.5,442(-4),東京,27,中3週,Y,,3,レイデオロ,ディープインパクト,,
2,2,ビストワル,牡3,,美浦・中舘,差し,136.0,12,13,2歳新馬,39.1,450(-2),中山,142,中19週,Y,,1,Nathaniel,Dansili,,
3,3,サンブノワ,牡3,オシェ,栗東・斉藤崇,,10.0,4,8,3歳未勝利,40.4,508(-4),阪神,42,中5週,Y,,3,ブリックスアンドモルタル,ハービンジャー,,B
4,3,メインストリーム,牡3,三浦,美浦・尾関,追込,13.0,5,3,3歳未勝利,37.5,486(-2),東京,21,中2週,Y,,2,ヴィクトワールピサ,カリズマティック,,
5,4,レッドスフェーン,セ3,津村,美浦・林,差し,3.2,2,2,3歳未勝利,38.2,430(-2),東京,14,中1週,Y,,3,リアルスティール,Exceed And Excel,,
6,4,バウンドトゥウィン,牝3,長浜,美浦・小手川,差し,128.0,11,3,メイフラワ,42.1,414(+3),川崎,11,中1週,,,2,フェノーメノ,ロードカナロア,,
7,5,アイヲコメテ,牝3,丸田,美浦・奥村武,差し,139.7,13,11,3歳未勝利,41.6,478(-8),中山,49,中6週,Y,,3,シャンハイボビー,ワークフォース,,B
8,5,ウェックスフォード,牡3,菅原明,美浦・高木,差し,25.8,7,5,3歳未勝利,38.8,478(-2),東京,14,中1週,Y,,3,オルフェーヴル,Tapit,,
9,6,エクササイズ,牡3,角田和,栗東・角田,差し,140.3,14,9,3歳未勝利,39.8,460(-4),京都,13,中1週,Y,,3,サンダースノー,パイロ,,
10,6,タガノラデツキー,牝3,城戸,栗東・高橋一,差し,121.2,10,7,3歳未勝利,39.6,470(-6),新潟,13,中1週,Y,,2,ニューイヤーズデイ,ディープインパクト,,
11,7,リアルビギニング,牡3,木幡巧,美浦・牧,先行,2.9,1,2,3歳未勝利,38.0,466(0),東京,21,中2週,Y,,3,リアルスティール,Dynaformer,,B
12,7,アルファウィンザー,牡3,北村宏,美浦・田村,差し,58.8,9,4,3歳未勝利,40.2,442(-8),中京,63,中8週,Y,,2,オルフェーヴル,ワークフォース,,
13,8,クラリファイ,牡3,戸崎圭,美浦・萩原,先行,3.7,3,4,3歳未勝利,38.2,510(0),中山,62,中8週,Y,,3,Justify,Galileo,,
14,8,ブルズアイ,牡3,永野,美浦・松山,差し,39.2,8,15,3歳未勝利,41.7,558(0),福島,27,中3週,Y,,3,マジェスティックウォリアー,ファスリエフ,,B
