着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,6,エンパイアウエスト,牝5,56.0,西村淳,2:00.3,,2,5.1,34.5,美浦黒岩,508(0)
2,2,2,ジュリアバローズ,牝6,56.0,横山典,2:00.3,クビ,3,5.5,33.9,栗東上村,444(0)
3,3,3,インザオベーション,牝5,56.0,浜中,2:00.3,アタマ,6,8.2,34.0,栗東武幸,478(+6)
4,8,11,アグラシアド,牝4,56.0,藤岡佑,2:00.4,1/2,1,4.2,33.6,栗東中村,484(+2)
5,6,8,ヒヅルジョウ,牝5,56.0,菱田,2:00.4,ハナ,8,17.5,33.5,栗東岡田,492(0)
6,4,4,シンティレーション,牝5,56.0,鮫島駿,2:00.5,クビ,4,6.6,34.4,美浦池上,484(-2)
7,5,5,モカフラワー,牝5,56.0,幸,2:00.7,1.1/4,12,59.9,34.7,美浦相沢,464(+6)
8,1,1,アレグロモデラート,牝5,56.0,富田,2:00.7,ハナ,7,11.7,34.4,美浦武井,484(-4)
9,7,10,ペイシャフラワー,牝4,56.0,団野,2:00.9,1.1/4,11,45.0,35.2,栗東高橋康,462(+2)
10,6,7,ラスマドレス,牝5,56.0,北村友,2:01.1,1.1/4,5,7.1,34.6,栗東安田,474(+4)
11,8,12,ウインエクレール,牝5,56.0,田口,2:01.3,1.1/2,10,40.8,34.5,美浦畠山,488(+10)
12,7,9,カーペンタリア,牝5,56.0,和田竜,2:02.3,6,9,37.5,36.1,美浦木村,502(+6)
