着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,6,11,ビヨンドザファザー,牡5,58.0,北村友,1:35.4,,7,19.1,34.8,栗東藤岡,508(-12)
2,1,1,タマモロック,牡4,58.0,永野,1:35.4,ハナ,5,8.6,34.9,美浦伊藤圭,504(+4)
3,8,15,アクションプラン,牡4,58.0,内田博,1:35.4,クビ,3,7.4,35.3,美浦池上,508(-8)
4,2,2,パライバトルマリン,牝4,57.0,丸山,1:35.5,クビ,9,29.1,35.1,美浦林,504(-8)
5,5,8,ケイアイシェルビー,牡6,58.0,藤懸,1:35.9,2.1/2,8,19.5,35.2,栗東平田,470(-2)
6,8,14,ジャスパーゴールド,牡6,58.0,横山和,1:35.9,ハナ,13,196.2,35.3,栗東森秀,474(-2)
7,3,4,キタノリューオー,牡6,60.0,津村,1:35.9,ハナ,10,34.0,35.2,美浦萱野,472(+2)
8,4,7,ゴーゴーユタカ,牡5,58.0,岩田康,1:35.9,クビ,12,45.9,34.9,美浦武井,482(+4)
9,7,12,レオノーレ,牝5,56.0,三浦,1:36.0,クビ,4,8.4,35.8,栗東福永,490(+10)
10,7,13,ユティタム,牡4,59.0,佐々木,1:36.3,1.3/4,1,3.3,36.2,栗東須貝,520(+2)
11,6,10,ディパッセ,牡5,58.0,北村宏,1:36.5,1.1/2,14,245.6,36.3,栗東高柳大,510(+16)
12,5,9,イーグルノワール,牡3,55.0,ルメー,1:37.1,4,2,3.5,37.1,栗東音無,524(+5)
13,2,3,ハギノアトラス,セ8,58.0,武藤,1:37.2,クビ,15,300.9,37.0,栗東鮫島,480(+2)
14,3,5,サンライズジーク,牡4,57.0,オシェ,1:37.8,3.1/2,11,43.2,38.0,栗東矢作,508(0)
15,4,6,アスクドゥラメンテ,牡5,58.0,戸崎圭,1:38.0,1.1/2,6,13.5,38.1,栗東藤原,534(-14)
