馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,セラフィナイト B,牡6,北村宏,美浦・矢嶋,差し,77.1,9,4,,35.0,444(-8),東京,35,中4週,Y,,3,ルーラーシップ,ディープインパクト,
2,2,ブリタニア,牡4,川田,栗東・杉山佳,追込,3.1,1,4,,34.6,492(-2),京都,29,中3週,Y,,3,ハービンジャー,クロフネ,
3,3,グランドカリナン,牡4,坂井,美浦・田島,,7.2,4,3,4歳以上2勝クラス,34.9,460(+4),東京,28,中3週,Y,,3,リアルインパクト,マンハッタンカフェ,
4,4,ピンキープロミス,牡4,木幡巧,美浦・畠山,差し,21.4,7,4,4歳以上2勝クラス,34.4,488(0),東京,28,中3週,Y,,3,ゴールドシップ,アグネスデジタル,
5,5,アルファウェーブ B,セ7,西村淳,美浦・辻,先行,77.7,10,8,,35.9,534(-4),中山,56,中7週,Y,,3,Gleneagles,Exceed And Excel,
6,6,コスモシャングリラ,牝4,丹内,美浦・水野,差し,53.8,8,10,,34.0,450(+10),東京,22,中2週,Y,,3,ハーツクライ,Monsun,
7,7,ビターグラッセ,牝4,マクド,美浦・栗田,差し,3.5,2,3,,33.4,502(-4),東京,22,中2週,Y,,3,ルーラーシップ,サクラバクシンオー,
8,7,リミットバスター B,牡4,オシェ,栗東・杉山晴,差し,3.9,3,2,4歳以上2勝クラス,34.0,508(0),東京,28,中3週,Y,,3,ハーツクライ,キングカメハメハ,
9,8,ランプシー,牡4,横山武,美浦・斎藤誠,差し,12.4,6,1,3歳以上1勝クラス,35.4,466(+2),中山,157,中21週,Y,,3,ハーツクライ,Kendargent,
10,8,シテフローラル,牡6,モレイ,美浦・堀,追込,10.3,5,11,4歳以上2勝クラス,34.7,462(+4),東京,126,中17週,Y,,3,ディープインパクト,Rossini,
