馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,サザンカ,牝3,角田河,栗東・角田,,5.4,2,11,3歳未勝利,39.4,466(+2),阪神,55,中7週,Y,,3,ヘニーヒューズ,ディープインパクト,,
2,2,ラインアルファ,牡3,丹内,美浦・水野,,19.3,5,9,3歳未勝利,38.9,462(-4),福島,56,中7週,Y,,3,ヘニーヒューズ,アドマイヤムーン,,B
3,3,ラントゥリーダンス,牝3,小林凌,美浦・石栗,先行,98.9,11,12,3歳未勝利,39.3,448(-6),東京,21,中2週,Y,,1,リオンディーズ,フレンチデピュティ,,
4,4,シュブロンレーヴル,牝3,川端,栗東・杉山佳,差し,13.3,4,10,3歳未勝利,35.4,408(0),京都,41,中5週,Y,,3,オルフェーヴル,ロードカナロア,,
5,5,アマモト,牡3,横山和,美浦・田村,差し,10.8,3,5,3歳未勝利,36.3,474(+6),東京,20,中2週,Y,,2,メイショウサムソン,エンパイアメーカー,,
6,5,ミルキーメモリー,牝3,小林勝,美浦・牧,先行,27.5,7,14,3歳未勝利,40.2,452(-2),中山,63,中8週,Y,,3,リアルスティール,クロフネ,,
7,6,ノブノリッキー,牡3,小林美,美浦・中舘,,1.4,1,2,3歳未勝利,38.1,514(+4),中山,69,中9週,Y,,3,コパノリッキー,スウェプトオーヴァーボード,,
8,6,アルヘンティニータ,牝3,永野,美浦・伊藤圭,,57.2,10,,,,436(0),,,,,,,Constitution,Tizway,,
9,7,シャトーディフ,牝3,長浜,美浦・矢嶋,先行,38.4,9,14,3歳未勝利,34.8,428(-12),新潟,42,中5週,Y,,3,モーリス,クロフネ,,
10,7,グランヴィルローズ,牝3,石神道,美浦・和田郎,差し,487.6,12,15,3歳未勝利,40.4,406(-6),東京,126,中17週,Y,,3,リアルインパクト,ストロングリターン,,
11,8,テイエムミステリー,牡3,富田,栗東・木原,先行,23.8,6,6,3歳未勝利,38.9,480(-8),京都,147,中20週,Y,,3,サトノアラジン,タイキシャトル,,
12,8,レッドマーレ,牡3,高杉,栗東・小椋,先行,34.7,8,6,3歳未勝利,36.2,430(+8),福島,49,中6週,Y,,3,モーリス,ディープインパクト,,
