馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,スクルプトーリス,牝4,富田,栗東・松下,先行,54.7,11,12,4歳以上2勝クラス,39.0,460(+6),阪神,90,中12週,Y,,3,ジャスタウェイ,Kingmambo,
2,1,ヴィアドロローサ,牡5,北村友,栗東・高橋一,先行,10.4,3,5,,35.1,460(+6),小倉,97,中13週,Y,,3,ロードカナロア,ディープインパクト,
3,2,ナリタローゼ B,牝6,角田河,栗東・高橋亮,先行,21.4,10,7,,32.7,494(+12),新潟,41,中5週,Y,,3,ダイワメジャー,A.P. Indy,
4,2,アララララ,牡3,丹内,美浦・清水英,,1.9,1,1,3歳1勝クラス,34.9,448(0),中山,90,中12週,Y,,3,アドマイヤムーン,Shamardal,
5,3,ポルタフォルトゥナ,牝5,古川吉,美浦・土田,先行,15.8,8,3,,34.4,476(+4),福島,48,中6週,Y,,3,ジョーカプチーノ,キングズベスト,
6,3,スマートルシーダ,牡6,武豊,栗東・音無,追込,13.4,5,8,4歳以上2勝クラス,33.7,464(+4),中山,56,中7週,Y,,3,ディープインパクト,キングヘイロー,
7,4,ミスヨコハマ,牝4,斎藤,美浦・斎藤誠,差し,12.8,4,3,4歳以上2勝クラス,34.2,474(0),東京,49,中6週,Y,,3,カレンブラックヒル,Blame,
8,4,コーティアスマナー,牝3,鮫島駿,栗東・高橋忠,差し,7.1,2,6,,34.1,438(0),京都,34,中4週,Y,,3,Invincible Spirit,Dubawi,
9,5,ディオアステリア,牝5,小林勝,美浦・小野,差し,15.0,7,3,,35.2,478(+6),新潟,21,中2週,Y,,3,ザファクター,シンボリクリスエス,
10,5,アップストローク,セ5,大野,美浦・杉浦,差し,13.5,6,7,4歳以上2勝クラス,33.6,456(-4),東京,35,中4週,Y,,3,ディーマジェスティ,Unbridled's Song,
11,6,ショウナンアメリア B,牝5,横山和,美浦・奥村武,先行,55.4,12,12,,34.9,452(+6),福島,48,中6週,Y,,3,ロードカナロア,ダイワメジャー,
12,6,オカンモシャチョウ,牝5,松岡,栗東・森秀,先行,189.3,14,8,,38.1,478(+2),中山,167,中23週,Y,,2,Lord Nelson,Closing Argument,
13,7,アンビバレント,牡4,亀田,栗東・藤野,逃げ,275.5,16,11,4歳以上2勝クラス,38.3,466(-6),東京,28,中3週,Y,,3,ディスクリートキャット,アドマイヤマックス,
14,7,ニシノコウダイ,牡4,藤岡佑,栗東・長谷川,差し,19.1,9,2,4歳以上2勝クラス,33.7,488(-2),中山,56,中7週,Y,,3,アメリカンペイトリオット,ルーラーシップ,
15,8,フクノワカバ B,牝4,菱田,栗東・杉山佳,,214.0,15,16,4歳以上2勝クラス,41.5,436(-12),京都,42,中5週,Y,,3,ドレフォン,ダイワメジャー,
16,8,ワイアウ,牝4,永野,美浦・鈴木慎,差し,115.2,13,14,4歳以上2勝クラス,39.6,468(-12),東京,41,中5週,Y,,3,ロードカナロア,ダイワメジャー,
