着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,7,14,ボナンザ,牡4,57.0,川田,1:11.3,,1,1.9,36.6,栗東庄野,502(+8)
2,6,12,サザンエルフ,牝5,55.0,田口,1:11.4,クビ,5,13.3,36.9,美浦中川,478(0)
3,3,5,ペプチドヤマト,牡5,56.0,小沢,1:11.5,1/2,13,62.2,37.6,栗東武英,492(+6)
4,7,13,エコロアイ,牝4,55.0,和田竜,1:11.5,アタマ,8,35.2,37.7,栗東森秀,516(+4)
5,5,10,タイセイブリリオ,牡5,57.0,西塚,1:11.8,2,6,16.0,37.5,栗東大橋,484(+18)
6,5,9,イチネンエーグミ,牡5,56.0,松若,1:11.9,クビ,2,5.1,37.4,栗東茶木,566(+8)
7,1,1,コパノハンプトン,牡4,56.0,岩田康,1:12.0,1/2,12,53.6,37.5,栗東宮,506(-4)
8,3,6,ジェットエンブレム,牡6,56.0,吉村,1:12.0,クビ,16,130.9,36.7,栗東石坂,536(0)
9,8,15,カネコメシスター,牝5,53.0,西村淳,1:12.1,1/2,9,45.2,37.2,栗東中尾,504(+2)
10,1,2,ナスノカンゲツ,牡4,55.0,川須,1:12.1,クビ,11,53.4,37.5,美浦武井,522(+2)
11,6,11,グットディール,セ5,57.0,角田和,1:12.3,1,10,50.8,37.6,栗東須貝,500(0)
12,2,4,クロデメニル,牝5,53.0,永島,1:13.1,5,14,81.7,39.4,栗東森秀,512(+18)
13,2,3,シラキヌ,牝5,54.0,秋山稔,1:13.9,5,7,19.4,40.3,栗東小林,498(-8)
14,8,16,スクーバー,牡4,56.0,Mデム,1:14.1,1.1/2,3,7.6,39.2,美浦武藤,502(+2)
中止,4,7,オーガスタスカイ,牝5,53.0,団野,,,15,101.5,,栗東斉藤崇,480(+4)
中止,4,8,ダイリュウホマレ,牝4,54.0,松山,,,4,12.4,,栗東橋口,450(+10)
