馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,エリーズダイヤ,牝4,ルメー,美浦・戸田,先行,1.9,1,2,,33.6,480(+6),東京,29,中3週,Y,,3,ハーツクライ,フレンチデピュティ,
2,2,ココリホウオウ,セ6,北村宏,美浦・古賀,差し,79.5,11,12,,34.9,466(-24),東京,134,中18週,Y,,3,ワールドエース,ファンタスティックライト,
3,3,ルカン,牝4,団野,栗東・藤野,先行,63.7,9,10,4歳以上2勝クラス,36.9,414(-8),京都,43,中5週,Y,,3,ハーツクライ,Tribal Rule,
4,4,ニコラウス,牡3,石橋脩,美浦・上原佑,差し,6.1,3,14,,33.5,436(0),京都,22,中2週,Y,,3,リアルスティール,Sageburg,
5,5,サトノヴィレ,セ4,オシェ,美浦・鹿戸,差し,18.3,4,1,4歳以上1勝クラス,35.4,494(-2),新潟,28,中3週,Y,,3,デクラレーションオブウォー,フジキセキ,
6,5,ボルタドマール B,セ5,木幡巧,美浦・黒岩,,66.3,10,4,,34.2,502(-6),東京,15,中1週,Y,,3,ストロングリターン,マンハッタンカフェ,
7,6,オメガウインク,牝3,戸崎圭,美浦・大和田,先行,2.7,2,7,,34.4,462(-4),京都,42,中5週,Y,,3,ロジャーバローズ,Red Ransom,
8,6,メイケイバートン,牡5,田辺,栗東・中竹,先行,24.8,5,13,4歳以上2勝クラス,36.0,468(-2),京都,22,中2週,Y,,3,ミッキーアイル,ジャングルポケット,
9,7,サイヤダンサー,牡7,柴田善,美浦・深山,先行,101.7,12,5,,33.6,462(-4),東京,29,中3週,Y,,3,ベーカバド,サンデーサイレンス,
10,7,ダンディジャック,牡5,,美浦・佐藤吉,追込,46.4,8,7,,32.9,512(+6),東京,29,中3週,Y,,3,ディーマジェスティ,バトルプラン,
11,8,フミサウンド,牡4,三浦,美浦・鹿戸,差し,34.5,6,13,4歳以上2勝クラス,38.6,444(+2),東京,57,中7週,Y,,3,ジャスタウェイ,Redoute's Choice,
12,8,デルマカンノン,牝6,菅原明,栗東・緒方,差し,40.0,7,6,,33.3,450(-4),東京,29,中3週,Y,,3,スピルバーグ,Belong to Me,
