馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アイアムユウシュン,牡3,戸崎圭,美浦・奥平,先行,5.4,3,5,,38.2,510(+6),阪神,83,中11週,Y,,3,ヘニーヒューズ,アグネスタキオン,
2,1,タマモヴェナトル,牡4,菊沢,美浦・菊沢,先行,25.2,7,2,,37.8,446(+4),小倉,112,中15週,Y,,3,シニスターミニスター,ダノンシャンティ,
3,2,ランタナヒルズ,牝3,丸田,美浦・石毛,差し,15.5,5,1,3歳以上1勝クラス,34.8,452(-4),東京,21,中2週,Y,,3,ニューイヤーズデイ,スクリーンヒーロー,
4,2,コスモコラッジョ B,牡6,杉原,美浦・嘉藤,先行,262.8,14,16,,40.8,500(-8),中京,90,中12週,Y,,3,シンボリクリスエス,アグネスデジタル,
5,3,リラックス B,牡4,菅原明,美浦・久保田,先行,29.6,9,4,,35.5,516(+10),東京,28,中3週,Y,,3,イスラボニータ,クロフネ,
6,3,リンドラゴ B,牡5,石川,栗東・杉山佳,追込,15.8,6,2,,35.4,476(+4),東京,28,中3週,Y,,3,ミッキーアイル,Sadler's Wells,
7,4,リュクスウォリアー,牡7,藤懸,栗東・平田,先行,324.2,16,15,4歳以上2勝クラス,38.7,508(-2),阪神,69,中9週,Y,,3,マジェスティックウォリアー,ダイワメジャー,
8,4,グラスシフォン,牝4,石橋脩,美浦・松山,差し,11.1,4,5,,34.9,422(-4),東京,28,中3週,Y,,3,シニスターミニスター,フレンチデピュティ,
9,5,ニットウバジル,牡4,レーン,美浦・高橋文,先行,3.3,2,3,,35.6,504(+6),東京,28,中3週,Y,,3,ダノンレジェンド,ザッツザプレンティ,
10,5,エストレヤデベレン,牡3,ルメー,栗東・武幸,差し,2.7,1,1,3歳1勝クラス,36.5,540(0),東京,62,中8週,Y,,2,エピファネイア,ファスリエフ,
11,6,バルミュゼット B,牡5,オシェ,栗東・藤野,差し,73.9,11,3,,34.8,534(+2),東京,20,中2週,Y,,3,フリオーソ,ファスリエフ,
12,6,ルクスメテオール,牡4,田辺,栗東・小林,先行,33.4,10,5,4歳以上2勝クラス,36.2,480(-4),京都,27,中3週,Y,,3,ダイワメジャー,ヨハネスブルグ,
13,7,ヒヤ B,牡6,江田照,栗東・鮫島,追込,274.0,15,11,,38.0,464(-12),東京,41,中5週,Y,,3,パドトロワ,ゴールドアリュール,
14,7,ミルトハンター,牡4,三浦,栗東・中竹,,27.4,8,5,,35.8,476(-2),東京,48,中6週,Y,,3,ヘニーヒューズ,スエヒロコマンダー,
15,8,クリノアルバトロス,牡4,柴田善,美浦・伊藤伸,差し,84.6,12,4,,35.9,510(+4),東京,7,連闘,Y,,3,アスカクリチャン,スクリーンヒーロー,
16,8,ミラキュラスライト,牡5,津村,美浦・萩原,差し,100.0,13,6,4歳以上2勝クラス,37.4,494(+6),東京,63,中8週,Y,,3,エイシンフラッシュ,フジキセキ,
