着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,1,2,プレアデスグループ,牝3,55.0,丹内,1:08.9,,1,1.7,35.1,栗東吉岡,436(+6)
2,2,4,ラーリア,牝3,55.0,大野拓,1:09.3,2.1/2,4,14.7,35.0,美浦大竹,400(0)
3,6,11,コアクト,牝3,55.0,黛,1:09.5,1.1/4,13,189.4,35.0,美浦宗像,438(-8)
4,5,9,ハイボーン,牝3,55.0,岩田康,1:09.6,3/4,3,8.8,34.8,栗東上村,444(+10)
5,8,15,ニシノシャミナード,牝3,55.0,永野,1:09.8,3/4,2,3.3,35.0,美浦嘉藤,428(+4)
6,3,6,メイショウマサユメ,牝3,54.0,☆角田河,1:09.8,クビ,8,44.0,35.9,栗東角田,464(+2)
7,4,7,バニーホップ,牝3,52.0,▲川端,1:09.9,クビ,5,18.5,34.9,栗東辻野,410(+4)
8,3,5,ジャヴァネ,牝3,54.0,☆松本,1:09.9,クビ,10,95.6,34.6,美浦加藤和,410(+2)
9,8,16,ドゥザキャッチ,牝3,55.0,菱田,1:10.1,1.1/2,9,60.5,35.4,美浦田中博,454(0)
10,5,10,プロトアステール,牝3,55.0,北村友,1:10.3,1.1/4,7,39.7,35.5,栗東寺島,440(-2)
11,4,8,ピクラリーダ,牝3,51.0,★小林美,1:10.4,3/4,11,100.0,36.3,美浦森一,452(+2)
12,7,14,レターフロムパリ,牝3,55.0,佐々木,1:10.7,1.1/2,6,21.9,36.3,美浦西田,438(+4)
13,6,12,プレシャスシル,牝3,52.0,▲今村,1:11.0,2,15,372.5,35.6,美浦菊川,420(-2)
14,2,3,ミルキーメモリー,牝3,55.0,古川吉,1:11.1,1/2,12,133.5,36.9,美浦牧,454(+2)
15,1,1,キョウエイチアフル,牝3,52.0,▲小林勝,1:11.6,3,14,190.8,37.1,美浦勢司,442(-6)
16,7,13,シナモンデイジー,牝3,52.0,▲鷲頭,1:13.0,8,16,385.0,36.6,美浦菊川,470(+8)
