馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ルークススペイ,牡2,永野,美浦・伊藤圭,,5.6,3,,,,476(0),,,,,,,ベストウォーリア,メジロベイリー,,
2,2,ローレルランウェイ,牝2,横山和,栗東・昆,,7.0,4,,,,444(0),,,,,,,エポカドーロ,アグネスタキオン,,
3,3,ウインラテアート,牝2,丹内,美浦・宗像,,4.4,2,,,,462(0),,,,,,,ジョーカプチーノ,キングヘイロー,,
4,4,アースミューズ,牝2,小林勝,美浦・粕谷,,44.0,9,,,,428(0),,,,,,,フリオーソ,サウスヴィグラス,,
5,5,スパーク,牡2,長浜,美浦・池上,,65.7,10,,,,482(0),,,,,,,ガルボ,サウスヴィグラス,,
6,6,トゥインクルアップ,牝2,鮫島駿,栗東・杉山佳,,8.7,5,,,,470(0),,,,,,,ロジャーバローズ,バトルプラン,,
7,6,ローレルゼロ,牡2,佐々木,栗東・高橋康,,33.4,8,,,0.0,472(0),函館,14,中1週,Y,,1,ブルドッグボス,キンシャサノキセキ,,
8,7,オオタチ,牡2,亀田,美浦・久保田,,81.1,11,,,,450(0),,,,,,,ルヴァンスレーヴ,フリオーソ,,
9,7,フラッシュポイント,牝2,横山武,美浦・西田,,2.7,1,,,,470(0),,,,,,,ニューイヤーズデイ,フジキセキ,,
10,8,サフランキララ,牝2,,栗東・北出,,27.2,7,,,,406(0),,,,,,,フォーウィールドライブ,スターリングローズ,,
11,8,ディヴァンカドー,牡2,古川吉,栗東・宮,,9.3,6,,,,482(0),,,,,,,シャンハイボビー,ネオユニヴァース,,
