馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価
1,1,アシャカタカ,牡4,津村,美浦・鈴木伸,,4.5,3,1,,34.5,474(+2),福島,69,中9週,Y,,3,ファインニードル,ハーツクライ,
2,2,ブッシュガーデン,牝5,武藤,美浦・武井,差し,21.8,7,10,,34.8,462(-2),函館,13,中1週,Y,,3,リオンディーズ,Hard Spun,
3,3,キタノエクスプレス,牡6,国分優,栗東・坂口,差し,3.9,2,1,4歳以上2勝クラス,33.3,508(-14),京都,49,中6週,Y,,3,アジアエクスプレス,ディープインパクト,
4,3,ヴェールアンレーヴ B,牝5,野中,美浦・宮田,差し,57.2,11,11,,34.0,442(-8),東京,14,中1週,Y,,3,リオンディーズ,ディープインパクト,
5,4,スタードラマー,牡4,小牧太,栗東・笹田,差し,150.2,14,3,プリマヴェ,37.5,460(+3),大井,82,中11週,,,0,フェノーメノ,スウェプトオーヴァーボード,
6,4,ブランデーロック,牡5,,美浦・青木,追込,34.0,9,5,,33.1,468(0),京都,7,連闘,Y,,3,マクフィ,マーベラスサンデー,
7,5,プロスペリダード,牝4,戸崎圭,栗東・西園翔,逃げ,3.3,1,6,,35.3,446(+2),中山,84,中11週,Y,,3,アメリカンペイトリオット,Raven's Pass,
8,5,ピンクマクフィー,牝5,三浦,栗東・四位,先行,13.4,5,11,,35.7,432(0),中山,84,中11週,Y,,3,マクフィ,ハーツクライ,
9,6,ウインモナーク,牡5,松岡,美浦・奥平,先行,5.5,4,5,,33.6,488(-4),東京,41,中5週,Y,,3,ビッグアーサー,アドマイヤジャパン,
10,6,ハーモニーマゼラン B,牡7,石橋脩,美浦・土田,追込,56.7,10,5,,31.9,512(-6),新潟,55,中7週,Y,,3,ダイワメジャー,Sea The Stars,
11,7,メイショウフンケイ,牡6,Ｍデム,栗東・高橋亮,先行,33.6,8,12,,34.3,532(-8),阪神,105,中14週,Y,,3,ダイワメジャー,キングカメハメハ,
12,7,エコロレジーナ,牝4,菊沢,美浦・菊沢,先行,70.3,12,14,,35.5,484(-4),函館,13,中1週,Y,,3,アメリカンペイトリオット,オルフェーヴル,
13,8,シゲルカチョウ,牝6,荻野極,栗東・高橋康,先行,114.4,13,15,,35.1,504(-10),阪神,105,中14週,Y,,3,マクフィ,ダイワメジャー,
14,8,ウォータールグラン B,牝5,菅原明,栗東・河内,,19.2,6,17,,34.7,498(0),京都,62,中8週,Y,,3,ダイワメジャー,Tale of the Cat,
