着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,5,9,ホウオウビスケッツ,牡4,57.0,岩田康,1:46.8,,2,4.0,35.1,美浦奥村武,510(-6)
2,6,12,デビットバローズ,牡5,57.0,武豊,1:47.1,2,1,3.7,35.2,栗東上村,518(0)
3,8,15,アケルナルスター,牡5,57.0,丹内,1:47.1,ハナ,5,13.2,34.9,美浦清水英,472(-2)
4,7,14,オニャンコポン,牡5,58.0,菱田,1:47.2,クビ,4,6.5,34.8,美浦小島,488(+6)
5,3,6,ラリュエル,牝5,55.0,高杉,1:47.3,1,11,32.2,35.2,栗東矢作,428(+10)
6,2,3,サンストックトン,牡5,57.0,横山武,1:47.4,クビ,3,5.7,34.8,美浦鹿戸,472(-2)
7,1,1,ナイママ,牡8,57.0,亀田,1:47.4,アタマ,16,200.2,35.0,美浦武藤,488(+2)
8,8,16,ショウナンバシット,牡4,57.0,佐々木,1:47.4,アタマ,8,21.0,35.0,栗東須貝,500(+6)
9,4,7,ショウナンマグマ,牡5,58.0,永野,1:47.6,1.1/2,6,15.4,35.4,美浦尾関,516(+4)
10,5,10,グリューネグリーン,牡4,57.0,浜中,1:47.7,クビ,7,18.9,35.5,美浦相沢,502(+2)
11,3,5,サトノエルドール,牡8,58.0,大野,1:47.7,クビ,13,94.5,35.1,美浦国枝,482(0)
12,1,2,リューベック,牡5,57.0,荻野琢,1:47.8,1/2,12,56.4,35.3,栗東須貝,498(-6)
13,2,4,エミュー,牝4,55.0,藤岡佑,1:48.0,1.1/4,10,27.7,35.1,美浦和田郎,430(+2)
14,6,11,ワールドリバイバル,牡6,57.0,鮫島駿,1:48.1,1/2,9,21.0,36.2,栗東牧田,510(-6)
15,4,8,フォワードアゲン,セ7,57.0,黛,1:48.2,1/2,15,135.8,35.5,美浦加藤和,444(+6)
16,7,13,モントライゼ,牡6,58.0,古川吉,1:49.8,10,14,107.6,37.7,栗東松永幹,520(+2)
