馬番,枠番,馬名,性齢,騎手,厩舎,脚質,単勝オッズ,人気,前走着順,前走レース名,上がり3F,馬体重,前走開催場,前走間隔日数,間隔表記,転入初戦,長期休養明け,直近3走JRA数,血統父,血統母父,調教評価,ブリンカー
1,1,ホーリーアーク,牝2,吉村,美浦・佐藤吉,,35.0,7,,,,466(0),,,,,,,サトノアラジン,シンボリクリスエス,,
2,2,イチザマジック,牝2,鷲頭,美浦・的場,,94.3,11,,,,416(0),,,,,,,ベストウォーリア,ネオユニヴァース,,
3,3,ナンゴクトップガン,牡2,酒井,美浦・天間,,72.1,10,,,,446(0),,,,,,,バンブーエール,キングカメハメハ,,
4,4,コウユーモジョカー,牝2,団野,栗東・斉藤崇,,2.7,1,,,,450(0),,,,,,,ケイムホーム,バブルガムフェロー,,
5,4,チェストイケ,牝2,城戸,栗東・牧田,,97.4,12,,,,460(0),,,,,,,エーシントップ,チーフベアハート,,
6,5,ヤッホーキリシマ,牡2,小牧太,栗東・笹田,,25.6,6,,,,476(0),,,,,,,アメリカンペイトリオット,ハービンジャー,,
7,5,カシノトップラン,牡2,森裕,栗東・藤沢,,98.8,13,,,,430(0),,,,,,,エーシントップ,Cuvee,,
8,6,ムゾラシカ,牝2,丸山,美浦・根本,,23.9,5,,,,444(0),,,,,,,エスケンデレヤ,オレハマッテルゼ,,
9,6,レーニス,牝2,秋山稔,栗東・宮,,4.7,3,,,,434(0),,,,,,,ミッキーアイル,キングカメハメハ,,
10,7,カシノベティ,牝2,松本,美浦・和田雄,,36.0,8,,,,428(0),,,,,,,ケイムホーム,サクラバクシンオー,,
11,7,ニシノサンストーン,牡2,,栗東・北出,,9.1,4,,,,462(0),,,,,,,リーチザクラウン,ジャスタウェイ,,
12,8,ケイテンアイジン,牡2,永島,栗東・谷,,2.7,2,,,,482(0),,,,,,,アレスバローズ,ケイムホーム,,
13,8,アマノカグヤマ,牝2,川須,美浦・松永康,,40.5,9,,,,440(0),,,,,,,ケイムホーム,アドマイヤムーン,,
