着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,人気,単勝オッズ,上がり3F,厩舎,馬体重
1,2,4,デルアヴァー,牡2,55.0,三浦,1:49.9,,3,5.2,34.4,栗東松永幹,464(0)
2,5,9,ニヴルヘイム,牡2,55.0,戸崎圭,1:50.1,1.1/2,2,4.5,34.8,美浦栗田,452(0)
3,7,13,パートオブワールド,牝2,54.0,☆原,1:50.2,3/4,9,24.8,35.2,美浦竹内,414(0)
4,1,2,マイネルアレス,牡2,55.0,石川,1:50.2,ハナ,1,3.7,34.9,美浦相沢,440(0)
5,3,5,マキャベリー,牝2,55.0,菅原明,1:50.4,1.1/4,6,13.3,35.1,美浦黒岩,458(0)
6,8,15,キャノンビーチ,牝2,55.0,石橋脩,1:50.7,1.1/2,7,16.0,36.0,美浦武市,430(0)
7,3,6,ソルエパトリオット,牡2,54.0,☆横山琉,1:50.7,クビ,12,94.5,35.4,美浦尾形,394(0)
8,1,1,チョングク,牡2,55.0,岩部,1:50.9,1.1/4,16,133.3,35.4,美浦南田,460(0)
9,4,7,エコロディーナ,牝2,54.0,☆西塚,1:51.0,1/2,8,16.4,36.1,栗東牧浦,444(0)
10,6,11,ラストレガシー,牡2,55.0,津村,1:51.3,1.1/2,5,10.1,35.1,美浦手塚,482(0)
11,2,3,ポッドロワール,牡2,55.0,Mデム,1:51.4,3/4,4,7.0,35.7,美浦畠山,476(0)
12,8,16,リネンフラッシュ,牡2,55.0,菊沢,1:51.6,1.1/2,11,71.9,36.4,美浦粕谷,456(0)
13,7,14,サザンブラック,牡2,53.0,◇藤田菜,1:51.7,1/2,13,97.4,36.7,美浦根本,466(0)
14,4,8,グランノーヴ,牡2,55.0,木幡巧,1:51.8,1/2,14,97.7,37.2,美浦牧,412(0)
15,5,10,エルバステラ,牝2,55.0,荻野極,1:52.1,2,10,29.7,36.6,美浦高柳瑞,468(0)
16,6,12,スーパーホース,牡2,55.0,松岡,2:01.5,大,15,101.2,44.1,美浦堀内,482(0)
